indroea;fecha;altura;caudal
1010;01/01/1913;0.25;
1010;02/01/1913;0.25;
1010;03/01/1913;0.25;
1010;04/01/1913;0.25;
1010;05/01/1913;0.25;
1010;06/01/1913;0.25;
1010;07/01/1913;0.25;
1010;08/01/1913;0.25;
1010;09/01/1913;0.25;
1010;10/01/1913;0.25;
1010;11/01/1913;0.25;
1010;12/01/1913;0.2;
1010;13/01/1913;0.2;
1010;14/01/1913;0.2;
1010;15/01/1913;0.1;
1010;16/01/1913;0.3;
1010;17/01/1913;0.2;
1010;18/01/1913;0.2;
1010;19/01/1913;0.1;
1010;20/01/1913;0.1;
1010;21/01/1913;0.1;
1010;22/01/1913;0.1;
1010;23/01/1913;0.1;
1010;24/01/1913;0.1;
1010;25/01/1913;0.1;
1010;26/01/1913;0.15;
1010;27/01/1913;0.15;
1010;28/01/1913;0.5;
1010;29/01/1913;0.95;
1010;30/01/1913;0.7;
1010;31/01/1913;0.65;
1010;01/02/1913;0.5;
1010;02/02/1913;0.5;
1010;03/02/1913;0.45;
1010;04/02/1913;0.45;
1010;05/02/1913;0.4;
1010;06/02/1913;0.4;
1010;07/02/1913;0.4;
1010;08/02/1913;0.35;
1010;09/02/1913;0.35;
1010;10/02/1913;0.35;
1010;11/02/1913;0.35;
1010;12/02/1913;0.35;
1010;13/02/1913;0.3;
1010;14/02/1913;0.3;
1010;15/02/1913;0.3;
1010;16/02/1913;0.3;
1010;17/02/1913;0.25;
1010;18/02/1913;0.25;
1010;19/02/1913;0.25;
1010;20/02/1913;0.2;
1010;21/02/1913;0.2;
1010;22/02/1913;0.15;
1010;23/02/1913;0.15;
1010;24/02/1913;0.1;
1010;25/02/1913;0.05;
1010;26/02/1913;0.05;
1010;27/02/1913;0.05;
1010;28/02/1913;0.05;
1010;01/03/1913;0.05;
1010;02/03/1913;0.05;
1010;03/03/1913;0.05;
1010;04/03/1913;0.1;
1010;05/03/1913;0.1;
1010;06/03/1913;0.1;
1010;07/03/1913;0.1;
1010;08/03/1913;0.1;
1010;09/03/1913;0.1;
1010;10/03/1913;0.15;
1010;11/03/1913;0.15;
1010;12/03/1913;0.15;
1010;13/03/1913;0.15;
1010;14/03/1913;0.15;
1010;15/03/1913;0.15;
1010;16/03/1913;0.15;
1010;17/03/1913;0.15;
1010;18/03/1913;0.15;
1010;19/03/1913;0.15;
1010;20/03/1913;0.15;
1010;21/03/1913;0.15;
1010;22/03/1913;0.2;
1010;23/03/1913;0.2;
1010;24/03/1913;0.2;
1010;25/03/1913;0.25;
1010;26/03/1913;0.25;
1010;27/03/1913;0.25;
1010;28/03/1913;0.2;
1010;29/03/1913;0.2;
1010;30/03/1913;0.15;
1010;31/03/1913;0.15;
1010;01/04/1913;1.5;
1010;02/04/1913;1.5;
1010;03/04/1913;1.5;
1010;04/04/1913;1.5;
1010;05/04/1913;2;
1010;06/04/1913;2;
1010;07/04/1913;2;
1010;08/04/1913;2.5;
1010;09/04/1913;2.5;
1010;10/04/1913;3;
1010;11/04/1913;3;
1010;12/04/1913;3;
1010;13/04/1913;3;
1010;14/04/1913;3.5;
1010;15/04/1913;3.5;
1010;16/04/1913;3.5;
1010;17/04/1913;3.5;
1010;18/04/1913;3.5;
1010;19/04/1913;3.5;
1010;20/04/1913;3.5;
1010;21/04/1913;3;
