ref_ceh;fecha;altura;caudal
1401;01/10/1961;;48
1401;02/10/1961;;38.5
1401;03/10/1961;;35.5
1401;04/10/1961;;44
1401;05/10/1961;;30
1401;06/10/1961;;40
1401;07/10/1961;;47
1401;08/10/1961;;43.08
1401;09/10/1961;;62
1401;10/10/1961;;70
1401;11/10/1961;;80
1401;12/10/1961;;68
1401;13/10/1961;;60
1401;14/10/1961;;64
1401;15/10/1961;;54.55
1401;16/10/1961;;57
1401;17/10/1961;;56.98
1401;18/10/1961;;66.06
1401;19/10/1961;;62.5
1401;20/10/1961;;67.28
1401;21/10/1961;;76.13
1401;22/10/1961;;68.35
1401;23/10/1961;;79.76
1401;24/10/1961;;80.5
1401;25/10/1961;;80
1401;26/10/1961;;74
1401;27/10/1961;;62.5
1401;28/10/1961;;63.7
1401;29/10/1961;;60
1401;30/10/1961;;62
1401;31/10/1961;;65
1401;01/11/1961;;73
1401;02/11/1961;;76
1401;03/11/1961;;76
1401;04/11/1961;;76
1401;05/11/1961;;63
1401;06/11/1961;;72
1401;07/11/1961;;74
1401;08/11/1961;;67
1401;09/11/1961;;74
1401;10/11/1961;;70
1401;11/11/1961;;76
1401;12/11/1961;;79
1401;13/11/1961;;77.78
1401;14/11/1961;;64
1401;15/11/1961;;80
1401;16/11/1961;;80
1401;17/11/1961;;80
1401;18/11/1961;;80
1401;19/11/1961;;80
1401;20/11/1961;;80
1401;21/11/1961;;80
1401;22/11/1961;;80
1401;23/11/1961;;80
1401;24/11/1961;;70
1401;25/11/1961;;76.5
1401;26/11/1961;;76
1401;27/11/1961;;70
1401;28/11/1961;;72
1401;29/11/1961;;70
1401;30/11/1961;;50
1401;01/12/1961;;47
1401;02/12/1961;;74
1401;03/12/1961;;55
1401;04/12/1961;;75
1401;05/12/1961;;80
1401;06/12/1961;;75
1401;07/12/1961;;75
1401;08/12/1961;;80
1401;09/12/1961;;70
1401;10/12/1961;;78.98
1401;11/12/1961;;74
1401;12/12/1961;;76
1401;13/12/1961;;72
1401;14/12/1961;;65
1401;15/12/1961;;80
1401;16/12/1961;;80
1401;17/12/1961;;75
1401;18/12/1961;;80
1401;19/12/1961;;80
1401;20/12/1961;;80
1401;21/12/1961;;73
1401;22/12/1961;;80
1401;23/12/1961;;80
1401;24/12/1961;;76
1401;25/12/1961;;55.5
1401;26/12/1961;;0
1401;27/12/1961;;5
1401;28/12/1961;;0
1401;29/12/1961;;0
1401;30/12/1961;;0
1401;31/12/1961;;0
1401;01/01/1962;;0
1401;02/01/1962;;0
1401;03/01/1962;;0
1401;04/01/1962;;0
1401;05/01/1962;;0
1401;06/01/1962;;57
1401;07/01/1962;;54.3
1401;08/01/1962;;55
1401;09/01/1962;;76.85
1401;10/01/1962;;0
1401;11/01/1962;;0
1401;12/01/1962;;0
1401;13/01/1962;;0
1401;14/01/1962;;0
1401;15/01/1962;;25
1401;16/01/1962;;31
1401;18/01/1962;;32
1401;19/01/1962;;33
1401;20/01/1962;;35
1401;21/01/1962;;42
1401;22/01/1962;;42
1401;23/01/1962;;35
1401;24/01/1962;;35
1401;25/01/1962;;36
1401;26/01/1962;;55
1401;27/01/1962;;73.25
1401;28/01/1962;;80
1401;29/01/1962;;70
1401;30/01/1962;;75
1401;31/01/1962;;70
1401;01/02/1962;;80
1401;02/02/1962;;80
1401;03/02/1962;;80
1401;04/02/1962;;80
1401;05/02/1962;;75
1401;06/02/1962;;80
1401;07/02/1962;;80
1401;08/02/1962;;80
1401;09/02/1962;;77
1401;10/02/1962;;80
1401;11/02/1962;;80
1401;12/02/1962;;80
1401;13/02/1962;;76
1401;14/02/1962;;73.5
1401;15/02/1962;;74.5
1401;16/02/1962;;66.5
1401;17/02/1962;;76
1401;18/02/1962;;79
1401;19/02/1962;;59
1401;20/02/1962;;80
1401;21/02/1962;;76
1401;22/02/1962;;77
1401;23/02/1962;;68
1401;24/02/1962;;60
1401;25/02/1962;;47
1401;26/02/1962;;51
1401;27/02/1962;;55
1401;28/02/1962;;65
1401;01/03/1962;;62
