ref_ceh;anomes_ci;dia_ci;hci;qci
1401;196110;;;80
1401;196111;;;80
1401;196112;;;80
1401;196201;;;80
1401;196202;;;80
1401;196203;;;80
1401;196204;;;80
1401;196205;;;78.75
1401;196206;;;46.19
1401;196207;;;57.91
1401;196208;;;41.96
1401;196209;;;37.65
1402;196110;;;0
1402;196111;;;0
1402;196112;;;0
1402;196201;;;0
1402;196202;;;0
1402;196203;;;0
1402;196204;;;0
1402;196205;;;0
1402;196206;;;0
1402;196207;;;0
1402;196208;;;0
1402;196209;;;0
1402;196310;;;0
1402;196311;;;0
1402;196312;;;0
1402;196401;;;0
1402;196402;;;0
1402;196403;;;0
1402;196404;;;0
1402;196405;;;0
1402;196406;;;0
1402;196407;;;0
1402;196408;;;0
1402;196409;;;0
