ref_ceh;fecha;reserva;salida;tipo
1627;01/02/1963;429;60.3;2
1627;02/02/1963;434;73.2;2
1627;03/02/1963;436;82;2
1627;04/02/1963;436;83.4;2
1627;05/02/1963;436;80.8;2
1627;06/02/1963;437;113.9;2
1627;07/02/1963;449;327.8;2
1627;08/02/1963;468;568.1;2
1627;09/02/1963;471;308.3;2
1627;10/02/1963;471;346.3;2
1627;11/02/1963;472;395.6;2
1627;12/02/1963;467;346.3;2
1627;13/02/1963;464;329.1;2
1627;14/02/1963;464;335.6;2
1627;15/02/1963;467;387.1;2
1627;16/02/1963;474;419.2;2
1627;17/02/1963;478;427.4;2
1627;18/02/1963;482;453.8;2
1627;19/02/1963;480;453.7;2
1627;20/02/1963;481;491.3;2
1627;21/02/1963;488;516.7;2
1627;22/02/1963;487;467.1;2
1627;23/02/1963;482;412.6;2
1627;24/02/1963;474;347.3;2
1627;25/02/1963;471;336;2
1627;26/02/1963;465;289.2;2
1627;27/02/1963;459;252.9;2
1627;28/02/1963;457;271.3;2
1627;01/03/1963;453;211.9;2
1627;02/03/1963;450;182.5;2
1627;03/03/1963;448;160.8;2
1627;04/03/1963;449;182.1;2
1627;05/03/1963;447;169.1;2
1627;06/03/1963;444;152;2
1627;07/03/1963;442;143.6;2
1627;08/03/1963;441;135.7;2
1627;09/03/1963;441;131.4;2
1627;10/03/1963;445;184.4;2
1627;11/03/1963;458;342;2
1627;12/03/1963;476;497.2;2
1627;13/03/1963;487;815.9;2
1627;14/03/1963;447;13.3;2
1627;15/03/1963;467;312.3;2
1627;16/03/1963;463;283.8;2
1627;17/03/1963;464;268.4;2
1627;18/03/1963;462;266.3;2
1627;19/03/1963;457;217.7;2
1627;20/03/1963;458;290.2;2
1627;21/03/1963;466;361.7;2
1627;22/03/1963;472;360.1;2
1627;23/03/1963;469;303.8;2
1627;24/03/1963;463;254.8;2
1627;25/03/1963;458;238.2;2
1627;26/03/1963;452;199.9;2
1627;27/03/1963;448;187.4;2
1627;28/03/1963;448;195.5;2
1627;29/03/1963;452;214.4;2
1627;30/03/1963;453;234.1;2
1627;31/03/1963;459;272.1;2
1627;01/04/1963;446;312.1;2
1627;02/04/1963;462;266.3;2
1627;03/04/1963;455;214.2;2
1627;04/04/1963;450;187;2
1627;05/04/1963;446;162.2;2
1627;06/04/1963;444;134.2;2
1627;07/04/1963;443;127.3;2
1627;08/04/1963;444;182.3;2
1627;09/04/1963;446;232.6;2
1627;10/04/1963;451;256.5;2
1627;11/04/1963;452;191.8;2
1627;12/04/1963;451;182.9;2
1627;13/04/1963;451;182.1;2
1627;14/04/1963;449;155.3;2
1627;15/04/1963;447;165.8;2
1627;16/04/1963;444;152.9;2
1627;17/04/1963;442;161.9;2
1627;18/04/1963;441;172.4;2
1627;19/04/1963;439;166.6;2
1627;20/04/1963;442;157.9;2
1627;21/04/1963;446;166.7;2
