indroea;anomes_ci;dia_ci;hci;qci
1010;194512;;1.24;130
1010;194610;;;34.9
1010;194611;;;42.8
1010;194612;;;213.3
1010;194701;;;96.3
1010;194702;;3.12;530
1010;194703;;;136.6
1010;194704;;;42.8
1010;194705;;;25.2
1010;194706;;;6
1010;194707;;;5
1010;194708;;;4
1010;194709;;;6.6
1010;194810;;0.36;
1010;195002;;0.2;
1010;195102;;1.42;
1010;195111;;0.92;
1010;195211;;2;
1010;195403;;0.84;
1010;195501;;1.74;
1010;195609;;0.42;
1010;195702;;0.2;
1010;195803;;1.3;
1018;194512;;4.36;552.2
1018;194610;;;111.26
1018;194611;;;259.7
1018;194612;;;642
1018;194701;;;471.1
1018;194702;;7.2;1185
1018;194703;;;529
1018;194704;;;442.15
1018;194705;;;224.96
1018;194706;;;67.2
1018;194707;;;26.735
1018;194708;;;15.9
1018;194709;;;25.7
1018;194901;;2.9;
1018;195002;;2.6;
1018;195102;;5;
1018;195203;;3.5;
1019;194606;;0.7;15.1
1019;194610;;;1
1019;194611;;;2.4
1019;194612;;;5.8
1019;194701;;;7.4
1019;194702;;0.9;23.9
1019;194703;;;9.55
1019;194704;;;5
1019;194705;;;1.85
1019;194706;;;0.46
1019;194707;;;0.3
1019;194708;;;0.25
1019;194709;;;0.3
1019;194812;;0.4;
1019;195002;;0.24;
1019;195204;;0.5;
1603;200801;15;0.71;6.82
1603;200802;26;0.49;2.62
1603;200803;27;0.58;4.03
1603;200804;9;1.38;30.77
1603;200805;23;0.72;7.07
1603;200806;16;0.6;4.4
1603;200807;1;0.28;0.64
1603;200808;16;0.24;0.43
1603;200809;5;0.3;0.76
1603;200810;9;;1.04
1603;200811;29;0.72;7.07
1603;200812;13;1.18;22.1
1603;200901;29;1.34;28.93
1603;200902;4;0.9;12.08
1603;200903;5;0.58;3.65
1603;200904;18;0.49;2.41
1603;200905;23;0.55;3.2
1603;200906;10;0.47;2.17
1603;200907;23;0.36;1.12
1603;200908;2;0.26;0.5
1603;200909;16;0.2;0.26
1603;200910;22;0.36;1.12
1603;200911;15;1.33;24.93
1603;200912;6;2.21;46.56
1603;201001;14;1.92;39.17
1603;201004;1;0.69;5.6
1603;201005;11;0.46;2.06
1603;201006;11;1.74;34.7
1603;201007;2;0.37;1.2
1603;201008;1;0.24;0.41
1603;201009;8;0.2;0.26
1603;201010;3;0.49;2.41
1603;201011;20;1.22;22.42
1603;201012;8;1.34;25.17
1603;201101;6;2.21;46.56
1603;201102;16;0.98;13.33
1603;201103;1;0.52;2.79
1603;201104;23;0.51;2.65
1603;201105;2;0.42;1.64
1603;201106;1;0.27;0.55
1603;201107;3;0.24;0.41
