indroea;ano_hidr;aportano;qmedano;hmedano;qc;hc;ano_c;mes_c;dia_c;qci;hci;ano_ci;mes_ci;dia_ci;qcn;hcn;ano_cn;mes_cn;dia_cn;orig_dato_id
1010;1912;;;;;;;;;;;;;;;;;;;1
1010;1913;;;0.24;;;;;;;;;;;;;;;;1
1010;1914;;;0.18;;;;;;;;;;;;;;;;1
1010;1915;;;0.13;;;;;;;;;;;;;;;;1
1010;1916;;;;;;;;;;;;;;;;;;;1
1010;1917;;;0.03;;;;;;;;;;;;;;;;1
1010;1918;;;0.31;;;;;;;;;;;;;;;;1
1010;1919;;;0.24;;;;;;;;;;;;;;;;1
1010;1920;;;-0.03;;;;;;;;;;;;;;;;1
1010;1921;;;;;;;;;;;;;;;;;;;1
1010;1922;;;;;;;;;;;;;;;;;;;1
1010;1923;;;;;;;;;;;;;;;;;;;1
1010;1924;;;;;;;;;;;;;;;;;;;1
1010;1925;;;;;;;;;;;;;;;;;;;1
1010;1926;;;;;;;;;;;;;;;;;;;1
1010;1927;;;;;;;;;;;;;;;;;;;1
1010;1928;;;;;;;;;;;;;;;;;;;1
1010;1929;;;;;;;;;;;;;;;;;;;1
1010;1930;;;;;;;;;;;;;;;;;;;1
1010;1931;;;;;;;;;;;;;;;;;;;1
1010;1934;;;;;;;;;;;;;;;;;;;2
1010;1935;;;;;;;;;;;;;;;;;;;2
1010;1941;;;;;;;;;;;;;;;;;;;2
1010;1942;;;0.08;;;;;;;;;;;;;;;;1
1010;1943;267.551;8.461;-0.02;185.6;1;1943;11;26;;;;;;2.2;-0.25;1944;8;6;1
1010;1944;;;;;;;;;;;;;;;;;;;1
1010;1945;386.057;12.242;-0.03;130;1.24;1945;12;27;;;;;;1.8;-0.36;1946;7;12;1
1010;1946;673.764;21.365;0.11;450;2.78;1947;2;22;530;3.12;1947;2;;2.1;-0.34;1946;11;12;1
1010;1947;370.526;11.717;-0.1;213.3;1.7;1948;1;7;;;;;;1.5;-0.4;1947;11;16;1
1010;1948;174.588;5.536;-0.21;30.3;0.37;1948;10;30;;;;;;1.5;-0.4;1949;8;6;1
1010;1949;270.544;8.579;-0.08;20.6;0.2;1950;2;25;;;;;;2.4;-0.32;1950;9;27;1
1010;1950;823.478;26.112;0.19;160.2;1.42;1951;2;19;;;;;;2.1;-0.34;1951;9;6;1
1010;1951;362.837;11.474;-0.02;83.2;0.92;1951;11;18;;;;;;2.1;-0.34;1951;10;1;1
1010;1952;429.762;13.628;0;278;2;1952;11;26;;;;;;1.8;-0.36;1953;8;26;1
1010;1953;341.807;10.839;-0.05;74;0.84;1954;3;17;;;;;;1.5;-0.4;1954;7;28;1
1010;1954;447.396;14.187;-0.05;221;1.74;1955;1;23;;;;;;1.5;-0.4;1955;8;30;1
1010;1955;437.348;13.83;-0.03;200.5;1.64;1956;4;13;;;;;;1.4;-0.42;1956;9;20;1
1010;1956;206.565;6.55;-0.16;20.6;0.2;1957;2;22;;;;;;1.3;-0.44;1957;9;23;1
1010;1957;663.492;21.039;0.11;140;1.3;1958;3;27;;;;;;1.5;-0.4;1957;10;14;1
1010;1958;619.142;19.633;0.12;114;1.14;1959;4;16;;;;;;2.6;-0.3;1959;7;27;1
1011;1911;;;;;;;;;;;;;;;;;;;1
1011;1912;;;;;;;;;;;;;;;;;;;1
1011;1913;;;1.65;;;;;;;;;;;;;;;;1
1011;1914;;;;;;;;;;;;;;;;;;;1
1011;1915;;;1.77;;;;;;;;;;;;;;;;1
1011;1916;;;1.92;;;;;;;;;;;;;;;;1
1011;1917;;;1.23;;;;;;;;;;;;;;;;1
1011;1918;;;1.76;;;;;;;;;;;;;;;;1
1011;1919;;;1.51;;;;;;;;;;;;;;;;1
1011;1920;;;1.21;;;;;;;;;;;;;;;;1
1011;1921;;;1.49;;;;;;;;;;;;;;;;1
1011;1922;;;1.63;;;;;;;;;;;;;;;;1
1011;1923;;;1.64;;;;;;;;;;;;;;;;1
1011;1924;;;;;;;;;;;;;;;;;;;1
1011;1925;;;1.8;;;;;;;;;;;;;;;;1
1011;1926;;;;;;;;;;;;;;;;;;;1
1011;1927;;;;;;;;;;;;;;;;;;;1
1011;1928;;;1.21;;;;;;;;;;;;;;;;1
1011;1929;;;1.88;;;;;;;;;;;;;;;;1
