ref_ceh;ano_hidr;aportano;qmedano;hmedano;qc;hc;ano_c;mes_c;dia_c;qci;hci;ano_ci;mes_ci;dia_ci;qcn;hcn;ano_cn;mes_cn;dia_cn;orig_dato_id
1401;1962;1296.712;41.118;;89.17;;1963;2;10;;;;;;0;;1963;3;2;1
1401;1963;1572.472;49.727;;80;;1964;1;15;;;;;;0;;1964;2;25;1
1401;1965;1337.235;42.403;;85.97;;1966;5;21;;;;;;0;;1966;1;12;1
1401;1966;1732.072;54.924;;80;;1966;12;1;;;;;;0;;1967;8;10;1
1401;1967;1647.483;52.099;;92.1;;1968;4;1;;;;;;0.19;;1968;8;16;1
1401;1968;1847.12;58.572;;82.79;;1969;4;3;;;;;;0;;1969;1;17;1
1401;1969;1635.106;51.849;;80.34;;1970;5;21;;;;;;0;;1970;1;15;1
1401;1970;1890.27;59.94;;83.29;;1971;7;3;;;;;;3.99;;1971;1;9;1
1401;1971;1874.844;59.288;;83.86;;1972;2;6;;;;;;0;;1972;8;18;1
1401;1972;1861.609;59.031;;82.63;;1973;3;2;;;;;;4.02;;1973;8;28;1
1401;1973;1496.968;47.469;;80.93;;1974;3;10;;;;;;0;;1974;8;1;1
1401;1974;669.305;21.224;;76.82;;1975;9;12;;;;;;0;;1975;1;1;1
1401;1975;1405.249;44.438;;78.64;;1975;12;13;;;;;;0;;1975;10;28;1
1401;1976;1739.165;55.149;;79.86;;1976;11;30;;;;;;0;;1977;2;10;1
1401;1977;1723.804;54.661;;78.83;;1978;2;5;;;;;;0;;1978;2;21;1
1402;1961;78.43;2.487;;75;;1962;4;2;0;;1961;10;;0;;1962;1;6;1
1402;1963;51.526;1.629;;72.3;;1964;2;27;0;;1963;10;;0;;1964;1;1;1
1402;1965;20.931;0.664;;38.99;;1965;12;7;;;;;;0;;1966;1;1;1
1402;1966;0;0;;0;;1967;1;1;;;;;;0;;1967;1;1;1
1402;1967;0;0;;0;;1968;1;1;;;;;;0;;1968;1;1;1
1402;1968;0;0;;0;;1969;1;1;;;;;;0;;1969;1;1;1
1402;1969;0;0;;0;;1970;1;1;;;;;;0;;1970;1;1;1
1402;1970;0;0;;0;;1971;1;1;;;;;;0;;1971;1;1;1
1402;1971;0;0;;0;;1972;1;1;;;;;;0;;1972;1;1;1
1402;1972;0;0;;0;;1973;1;1;;;;;;0;;1973;1;1;1
1402;1973;0;0;;0;;1974;1;1;;;;;;0;;1974;1;1;1
1402;1974;0;0;;0;;1975;1;1;;;;;;0;;1975;1;1;1
1402;1975;0;0;;0;;1976;1;1;;;;;;0;;1976;1;1;1
1402;1976;17.207;0.546;;71.99;;1977;2;20;;;;;;0;;1977;1;1;1
1402;1977;33.63;1.066;;78.64;;1978;2;25;;;;;;0;;1978;1;1;1
