ref_ceh;ano_hidr;resano;salano;entano;tipo_dato_id;orig_dato_id
1627;1962;;;;2;1
1627;1963;420.15;3184.618;3068.968;2;1
1627;1964;304.5;1377.242;1457.942;2;1
1627;1965;385.2;5647.761;5329.561;2;1
1627;1966;67;2888.336;2876.236;2;1
1627;1967;54.9;2070.343;2378.143;2;1
1627;1968;362.7;4509.138;4655.538;2;1
1627;1969;509.1;4090.444;3754.444;2;1
1627;1970;173.1;2260.57;2519.17;2;1
1627;1971;431.7;3260.269;3216.469;2;1
1627;1972;387.9;2168.796;2063.896;2;1
1627;1973;283;2419.278;2449.178;2;1
1627;1974;312.9;1836.847;1637.547;2;1
1627;1975;113.6;1322.335;1387.465;2;1
1627;1976;178.73;4607.954;4863.944;2;1
1627;1977;434.72;4146.327;4175.537;2;1
1627;1978;463.93;5604.414;5605.014;2;1
1627;1979;464.53;2898.564;2772.074;2;1
1627;1980;338.04;2036.863;1977.753;2;1
1627;1981;278.93;2209.032;2258.358;2;1
1627;1982;328.256;3861.164;3653.819;2;1
1627;1983;120.911;2807.568;2803.236;2;1
1627;1984;116.579;3901.609;4049.405;2;1
1627;1985;264.375;2752.292;2639.136;2;1
1627;1986;151.219;1704.77;1783.223;2;1
1627;1987;229.672;4157.002;4096.863;2;1
1627;1988;169.533;1135.405;1217.541;2;1
1627;1989;251.669;1912.648;1757.617;2;1
1627;1990;96.638;2767.04;2801.095;2;1
1627;1991;130.693;1402.985;1512.488;2;1
1627;1992;240.196;2497.895;2527.141;2;1
1627;1993;269.442;3621.724;3539.212;2;1
1627;1994;125.572;2899.809;2834.945;1;1
1627;1995;163.51;3624.052;3661.99;1;1
1627;1996;291.253;1944.094;2071.837;1;1
1627;1997;239.749;3853.475;3801.971;1;1
1627;1998;253.578;1952.938;1966.767;1;1
1627;1999;161.471;2623.134;2531.027;1;1
1627;2000;62.268;6275.806;6176.603;1;1
1627;2001;197.031;1137.335;1272.098;1;1
1627;2002;161.629;3308.842;3273.44;1;1
1627;2003;60.46;2050.867;1949.698;1;1
1627;2004;187.973;1174.463;1301.976;1;1
1627;2005;228.773;1956.49;1997.29;1;1
1627;2006;250.926;3004.114;3026.267;1;1
1627;2007;225.605;1563.823;1538.502;1;1
1627;2008;210.013;2520.62;2505.028;1;1
1627;2009;166.113;3858.811;3814.911;1;1
1627;2010;;2906.518;;1;1
1627;2011;121.17;957.761;;1;1
1627;2012;158.71;3474.683;3512.223;1;1
1627;2013;152.74;3157.612;3151.642;1;1
1627;2014;218.97;1959.523;2025.753;1;1
1627;2015;302.53;3111.529;3195.089;1;1
1627;2016;152.29;1108.59;958.35;1;1
1627;2017;221.25;2722.076;2791.036;1;1
1627;2018;393.47;1733.202;1905.422;1;1
1627;2019;222.67;3408.516;3237.716;1;1
1627;2020;183;2907.93;2868.26;1;1
1629;1955;134.35;3589.3;3629.4;2;2
1629;1956;166.85;1549.5;1530.9;2;2
1629;1957;148.25;2744;2763.8;2;2
1629;1958;168.08;2653.638;2650.032;2;1
1629;1959;164.474;6556.81;6551.286;2;1
1629;1960;158.95;4830.373;4803.073;2;1
1629;1961;131.65;3077.421;3111.421;2;1
1629;1962;165.65;2687.126;2693.476;2;1
1629;1963;172;3284.928;3285.978;2;1
1629;1964;173.05;1253.733;1252.433;2;1
1629;1965;171.75;5383.368;5390.068;2;1
1629;1966;178.45;2810.808;2805.008;2;1
1629;1967;172.65;2122.338;2121.138;2;1
1629;1968;171.45;4375.391;4365.591;2;1
1629;1969;161.65;3838.087;3851.787;2;1
1629;1970;175.35;2138.892;2133.892;2;1
1629;1971;170.35;3008.388;3014.388;2;1
1629;1972;176.35;2159.127;2159.027;2;1
1629;1973;176.25;2361.528;2364.928;2;1
1629;1974;179.65;1823.723;1808.923;2;1
1629;1975;164.85;1381.821;1386.021;2;1
1629;1976;169.05;4628.457;4633.157;2;1
1629;1977;173.75;4472.021;4397.221;2;1
1629;1978;98.95;5655.753;5721.653;2;1
1629;1979;164.85;3182.181;3174.181;2;1
1629;1980;156.85;2201.8;2214.8;2;1
1629;1981;169.85;2376.138;2353.438;2;1
1629;1982;147.15;4103.369;4127.327;2;1
1629;1983;171.108;2967.329;2950.293;2;1
1629;1984;154.072;4149.738;4107.816;2;1
1629;1985;112.15;2794.412;2859.074;2;1
1629;1986;176.812;1805.921;1793.838;2;1
1629;1987;164.729;4348.907;4361.725;2;1
1629;1988;177.547;1145.569;1139.849;2;1
1629;1989;171.827;1991.727;1993.482;2;1
1629;1990;173.582;2902.484;2904.355;2;1
1629;1991;175.453;1503.643;1507.107;2;1
1629;1992;178.917;2613.632;2613.844;2;1
1629;1993;179.129;3798.189;3796.607;2;1
1629;1994;156.185;2602.36;2580.998;1;1
