num_cuenca;corriente;tipo_corr_id;cdr1;cdr2;desde;hasta;comentario;longitud;suprcnc;ambito_id
1372;MIÑO                          ;12;0144            ;0002;ORIGEN                    ;PEQUEÑO                   ;                       ;26.4;188.68;11
1373;PEQUEÑO                       ;12;014402          ;0000;ORIGEN                    ;MIÑO                      ;                       ;14.4;77.34;11
1374;MIÑO                          ;12;0144            ;0201;PEQUEÑO                   ;AZUMARA                   ;                       ;1.2;2.81;11
1375;AZUMARA                       ;12;014401          ;0000;ORIGEN                    ;MIÑO                      ;                       ;27.5;137.76;11
1376;MIÑO                          ;12;0144            ;0104;AZUMARA                   ;ANLLO                     ;                       ;13.1;36.68;11
1377;ANLLO                         ;12;014404          ;0000;ORIGEN                    ;MIÑO                      ;                       ;24.6;139.21;11
1378;MIÑO                          ;12;0144            ;0403;ANLLO                     ;LEA                       ;                       ;4.3;19.99;11
1379;LEA                           ;12;014403          ;0000;ORIGEN                    ;MIÑO                      ;                       ;21.3;151.04;11
1380;MIÑO                          ;12;0144            ;0306;LEA                       ;TAMOGA                    ;                       ;6.4;23.13;11
1381;TAMOGA                        ;12;014406          ;0000;ORIGEN                    ;MIÑO                      ;                       ;20.2;228.56;11
1382;MIÑO                          ;12;0144            ;0608;TAMOGA                    ;LADRA                     ;                       ;8.9;37.66;11
1383;LADRA                         ;12;014408          ;0002;ORIGEN                    ;LABRADA                   ;                       ;34.2;290.05;11
1384;LABRADA                       ;12;01440802        ;0000;ORIGEN                    ;LADRA                     ;                       ;31.5;145.27;11
1385;LADRA                         ;12;014408          ;0204;LABRADA                   ;PARGA                     ;                       ;6.5;29.7;11
1386;PARGA                         ;12;01440804        ;0000;ORIGEN                    ;LADRA                     ;                       ;30.1;330.07;11
1387;LADRA                         ;12;014408          ;0400;PARGA                     ;MIÑO                      ;                       ;11.5;91.28;11
1388;MIÑO                          ;12;0144            ;0810;LADRA                     ;NARLA                     ;                       ;5.9;58.17;11
1389;NARLA                         ;12;014410          ;0000;ORIGEN                    ;MIÑO                      ;                       ;27;205.68;11
1390;MIÑO                          ;12;0144            ;1005;NARLA                     ;CHAMOSO                   ;                       ;19.5;193.08;11
1391;CHAMOSO                       ;12;014405          ;0000;ORIGEN                    ;MIÑO                      ;                       ;12.2;161.46;11
1392;MIÑO                          ;12;0144            ;0507;CHAMOSO                   ;NEIRA                     ;                       ;8.2;57.83;11
1393;NEIRA                         ;12;014407          ;0001;ORIGEN                    ;GALLEGOS                  ;                       ;38.2;219.03;11
1394;GALLEGOS                      ;12;01440701        ;0000;ORIGEN                    ;NEIRA                     ;                       ;13.6;37.11;11
1395;NEIRA                         ;12;014407          ;0103;GALLEGOS                  ;SARRIA                    ;                       ;9.8;26.72;11
1396;SARRIA                        ;12;01440703        ;0001;ORIGEN                    ;PEQUEÑO                   ;                       ;27.4;168.12;11
1397;PEQUEÑO                       ;12;0144070301      ;0000;ORIGEN                    ;SARRIA                    ;                       ;7.9;49.84;11
1398;SARRIA                        ;12;01440703        ;0100;PEQUEÑO                   ;NEIRA                     ;                       ;18;90.09;11
1399;NEIRA                         ;12;014407          ;0302;SARRIA                    ;TORDEA                    ;                       ;1.1;0.73;11
1400;TORDEA                        ;12;01440702        ;0000;ORIGEN                    ;NEIRA                     ;                       ;26.6;200.2;11
1401;NEIRA                         ;12;014407          ;0200;TORDEA                    ;MIÑO                      ;                       ;7.8;39.36;11
1402;MIÑO                          ;12;0144            ;0712;NEIRA                     ;FERREIRA                  ;                       ;12;65.02;11
1403;FERREIRA                      ;12;014412          ;0000;ORIGEN                    ;MIÑO                      ;                       ;42.7;268.25;11
1404;MIÑO                          ;12;0144            ;1214;FERREIRA                  ;MOREDA                    ;                       ;28;313.6;11
1405;MOREDA                        ;12;014414          ;0000;ORIGEN                    ;MIÑO                      ;                       ;13.3;60.46;11
1406;MIÑO                          ;12;0144            ;1409;MOREDA                    ;SARDIÑEIRA                ;                       ;5.8;99.97;11
