indroea;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
1010;38;15;23;1913;1958;260;13.688;5.54;26.11;0.42;0.62;1.41;72.39;6.748;15.208;19.012;22.344;21.574;23.076;19.882;13.736;9.128;5.418;4.01;4.286;40.42;14.6;7.24;4.29;2.18
1011;24;0;24;1912;1940;74;;;;;;;;52.827;50.008;50.015;85.823;76.146;80.365;72.97;78.417;59.569;60.356;44.413;40.49;116.21;88.93;60.8;38.79;15.8
1012;20;0;20;1914;1937;51;;;;;;;;;1.74;2.293;1.027;4.195;2.1;3.124;4.01;3.31;2.658;2.002;1.405;7.75;3.42;2.44;1.68;0.97
1018;33;9;24;1912;1951;199;76.732;34.05;131.91;0.41;0.44;5.82;344.52;27.714;86.406;115.151;122.667;133.443;118.995;113.673;99.704;50.75;24.162;16.903;17.521;199.9;95.1;35.99;18.85;12.33
1019;8;7;1;1944;1951;95;0.811;0.54;1.14;0.27;0.17;0.25;4.19;0.366;0.681;1.204;1.568;1.523;1.215;1.183;0.806;0.625;0.401;0.339;0.333;2.86;1.02;0.57;0.37;0.27
1603;14;12;2;2007;2020;158;1.834;0.67;2.71;0.35;-0.53;0.09;10.64;0.3;1.838;3.323;3.794;4.76;3.388;2.585;1.315;0.903;0.375;0.211;0.158;7.19;2.74;0.98;0.35;0.15
1605;14;13;1;2007;2020;161;10.389;4.85;14.21;0.28;-0.73;0.86;43.21;2.425;11.468;18.796;20.682;22.109;16.271;12.914;8.035;6.503;2.846;1.461;1.391;33.06;16.23;6.61;2.34;1.15
1607;47;42;5;1974;2020;553;12.269;4.54;23.44;0.43;0.69;0.22;67.54;4.992;12.832;20.941;24.635;23.877;17.646;16.722;11.605;7.058;3.282;1.648;1.646;40.54;18.46;6.92;2.53;1.05
1608;47;43;4;1974;2020;550;11.371;4.56;19.44;0.32;0.14;0.33;55.17;5.334;12.926;19.273;22.986;21.361;16.204;15.027;10.349;6.266;3.174;1.963;2.19;35.13;16.24;7.4;3.04;1.07
1609;57;31;26;1915;1973;495;20.651;13.02;45.84;0.33;1.74;0.58;156.78;7.096;18.199;34.507;43.541;41.179;31.625;21.91;15.901;10.758;6.063;4.452;4.745;51.96;25.23;11.67;5.58;2.53
1617;46;42;4;1970;2020;539;8.087;2.78;15.76;0.32;0.4;0.12;40.29;3.607;9.298;14.964;16.81;16.271;11.992;9.897;6.788;3.642;1.433;0.69;0.773;26.16;12.32;5.35;1.54;0.38
1619;51;48;3;1970;2020;602;23.01;8.69;56.71;0.37;1.09;0.53;156.55;9.961;26.339;42.815;48.113;47.175;33.924;27.754;18.847;10.087;4.79;2.597;2.502;77.48;32.68;14.05;4.7;1.6
1620;14;13;1;2007;2020;164;3.86;1.37;5.52;0.35;-0.59;0.08;21.98;0.629;3.368;7.005;8.559;9.562;6.718;5.181;2.763;1.569;0.629;0.252;0.194;14.71;5.72;1.98;0.58;0.15
1621;85;60;25;1918;2008;814;42.999;18.39;119.37;0.43;1.3;0.36;322.53;18.781;45.014;80.297;92.778;86.38;65.568;50.735;33.789;19.256;9.452;6.129;7.935;141.1;61.18;26.32;9.46;3.3
1622;13;12;1;2008;2020;155;54.448;21.44;74.13;0.32;-0.72;2.69;242.22;12.113;59.499;97.727;116.775;131.46;92.338;65.206;36.223;24.548;11.478;6.305;5.688;185.46;88.65;29.34;11.11;4.12
1624;14;12;2;2007;2020;160;14.629;5.77;19.85;0.31;-0.87;1.74;80.55;3.862;12.534;22.521;27.691;32.685;24.365;18.669;11.158;8.283;4.378;2.912;2.662;44.71;19.17;8.57;3.79;2.31
1625;13;12;1;2008;2020;153;3.887;1.22;5.55;0.35;-0.81;0.09;22.55;0.92;3.702;6.376;7.822;9.692;6.601;5.042;2.7;1.743;0.814;0.432;0.438;13.51;5.27;2.07;0.76;0.32
1626;39;38;1;1970;2008;464;3.507;1.43;8.06;0.44;1.39;0.35;29.42;1.726;3.168;5.76;6.483;7.133;4.969;4.433;3.409;2.222;1.272;0.789;0.766;11.11;4.74;2.26;0.97;0.58
1628;13;12;1;2008;2020;155;5.422;1.88;7.88;0.34;-0.74;0.27;27.93;0.94;4.277;8.443;10.935;13.691;9.691;7.452;4.146;2.698;1.292;0.612;0.488;18.67;7.41;2.94;0.94;0.4
1629;9;9;0;1951;1959;108;100.248;53.32;206.21;0.41;1.71;3.41;895.25;20.644;78.149;214.459;200.126;214.68;188.054;147.099;64.596;37.123;20.256;10.121;12.06;362.48;138.45;53.44;17.98;7.68
1631;11;11;0;2010;2020;132;246.575;110.63;352.25;0.33;-0.38;35;1185.15;111.468;207.725;328.165;394.778;512.242;406.597;334.38;209.878;148.307;114.478;83.078;124;640.64;317.15;173.96;107.14;58.35
1637;4;4;0;1968;1971;48;16.385;11.16;24.68;0.32;0.7;0.62;98.52;3.433;12.36;15.253;52.495;41.01;28.418;13.223;15.645;8.198;3.22;2.188;2.023;73.51;23.82;9.31;3.07;0.75
1638;14;12;2;2007;2020;163;3.632;1.35;5.91;0.34;-0.03;0.09;18.26;1.133;3.535;5.986;7.302;7.575;5.777;4.714;2.954;1.489;0.661;0.306;0.243;12.95;5.18;1.9;0.66;0.19
1639;13;10;3;2008;2020;145;18.618;7.32;32.03;0.36;0.29;0.3;91.57;9.539;25.295;31.317;37.108;39.678;28.093;19.528;11.47;5.825;4.804;3.404;3.964;66.53;24.85;10.05;5.09;1.35
1640;14;12;2;2007;2020;163;21.479;10.45;31.14;0.34;-0.14;0.64;103.93;9.126;24.835;33.904;44.039;44.644;33.117;25.656;16.426;8.156;6.599;3.735;4.541;76.44;31.53;13.45;5.92;1.82
1641;40;24;16;1918;1966;316;329.548;129.88;653.44;0.41;0.75;18.94;2357.01;118.133;303.565;558.767;584.486;614.652;584.188;456.476;272.133;163.785;76.61;54.511;63.188;1102.54;431.36;219.88;96.06;31.58
1642;13;11;2;2008;2020;151;342.501;154;475.24;0.31;-0.44;35.17;1633.87;151.138;303.176;458.95;577.588;708.593;555.227;428.804;265.314;190.126;143.976;107.053;136.271;904.3;456.23;219.75;144.67;78.83
1644;13;11;2;2008;2020;151;9.844;4.6;14.71;0.32;-0.31;0.6;45.93;6.402;14.115;17.258;20.918;20.418;13.404;9.318;6.414;3.415;1.728;1.289;1.695;33.8;14.76;6.02;2.03;0.71
1645;51;46;5;1970;2020;605;15.725;6.12;35.68;0.41;0.77;0.63;141.42;11.337;19.101;30.267;31.77;33.125;19.998;16.711;13.123;7.429;3.644;1.975;3.048;57.59;20.66;9.28;3.66;1.38
