ref_ceh;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
1627;59;56;3;1962;2020;699;2825;958.4;6176.6;0.4;0.8;-37.7;1530.6;92.9;224.8;405.8;503.7;484.1;386.7;296.7;202.4;107.9;48.3;24.8;28.6;764.6;325.8;146.4;49.6;14.7
1629;67;66;1;1954;2020;801;2944.4;982.2;7216.4;0.4;0.9;6.2;2377.6;125.2;209.7;375.3;459.6;445.4;410.9;291.7;192.7;131.9;108.9;97.4;107.1;755.5;305.8;159.8;99.9;41.9
1631;51;51;0;1970;2020;612;7324.9;3070.2;19180.2;0.4;1.2;53.3;3999.4;362;549.2;873.7;1033.4;1060.2;917.9;709.7;545.2;405.8;343.4;263.5;261;1615.3;773.2;431.7;294.1;163
1634;51;51;0;1970;2020;612;7791.5;3269;18881.9;0.4;1;86.5;3875.1;387.8;591.4;940.5;1105.1;1101.3;984.9;765.4;581.1;424.5;358;277.1;274.3;1729.8;832.7;453.8;307.6;188.7
1637;49;48;1;1972;2020;585;386.6;169.7;991.8;0.4;1.4;-0.1;414.9;21.4;36.5;62.6;73.5;63.1;43.5;34.7;25.5;12.2;5.7;2.4;3.7;101.9;43.8;19;6.1;1.2
1641;51;51;0;1970;2020;612;8610.1;3727.9;21322.1;0.4;1;72.4;4441.5;416.8;658.7;1060;1256;1240.7;1092.7;849.4;642.6;456.7;371.6;280.5;284.4;1929.5;924.4;493.1;323.4;196
1704;50;47;3;1971;2020;592;671.5;256.1;2018.9;0.4;2;0;1186.5;28.9;57.8;85.1;107.7;79.2;90;84.9;69.1;34.6;15.4;7.3;8.9;150.3;82.9;41.8;14.6;4.6
1709;60;58;2;1961;2020;711;779.5;273.7;1531.7;0.4;0.5;-8.4;380.9;28.1;62.3;94.3;106.9;105.9;108.9;97.6;78;43.9;26.6;17.4;12.4;171.5;96.8;47.4;22.9;3.1
1710;59;58;1;1962;2020;700;919.8;270.9;1679.6;0.4;0.2;0.2;328.8;72;62.6;80.9;97.3;92.6;89.6;81.8;75;76.8;81.1;58.2;51.5;167.6;104.5;70.9;38.4;9.3
1711;52;52;0;1969;2020;624;716.9;158.6;1246.6;0.4;-0.1;-3.3;184.4;62.1;57.2;73.7;80.4;72;71.8;63.9;53.2;59.1;56.5;33.5;33.4;133.3;90.2;56.2;23.5;0
1712;52;51;1;1969;2020;622;2195.4;720.9;5147.9;0.4;0.8;-0.4;1137.4;125.7;165.9;255.5;311.2;298.2;263.8;221.9;166;131.5;109.8;67.8;61.2;481.3;234.4;133;79.8;33.2
1713;52;51;1;1969;2020;622;2497.3;769.5;6027.8;0.4;0.9;12.4;1497.3;124.5;180.6;304;373.1;364.6;302.6;254.3;190.1;138.1;105.3;70.7;61;588.9;255.7;138.2;80.7;36.2
1716;50;48;2;1971;2020;596;2282;730.7;5506.8;0.4;0.9;10.7;1339.3;120.1;172;283.9;328.9;328.2;276.8;230.8;170;125.8;100;65.8;57.6;547.6;235.1;128.7;75.6;32.2
1718;52;51;1;1969;2020;623;296.1;32.2;1055.5;0.7;1.3;-0.4;256.8;10.3;17.6;41.3;53.1;53.4;39.8;31.4;22.8;13.8;6.7;4.1;4.6;91.1;30.7;10.8;4.9;0.7
1740;63;62;1;1958;2020;755;2878.4;923.7;6430.2;0.4;0.8;19.4;2008.5;142.6;214.8;363.7;429.8;411;372.6;297.3;213.6;151.8;117.3;83.9;82.9;734.7;303.8;159.8;98.3;50.3
1741;61;57;4;1960;2020;725;140.8;64.6;308.7;0.4;0.9;-0.6;85.3;7.7;15.9;20.3;20.8;17.6;19.3;18.1;13.8;6;1.4;0.3;0.9;36;17.9;8.3;1.6;0.1
1743;61;59;2;1960;2020;729;944.3;434.5;2036;0.3;0.8;1.6;459.4;52.3;87;110.3;128.5;121;114;86.8;74.2;50.7;46.8;34.1;42.6;190.5;102.9;68.3;37.2;10.7
1744;63;63;0;1958;2020;756;2468.6;923.4;3923.1;0.3;-0.1;1.8;794.8;179.4;212;258.5;270.6;256.8;267.7;232.2;205.4;179.5;168.5;117.5;120.5;357.9;261.7;202.4;138.3;50.4
1745;60;58;2;1961;2020;717;163.2;69.7;350.4;0.4;0.8;-0.3;87.9;6.9;14.3;21.7;23.8;21.8;20;17.7;14.5;8.6;5.4;3.3;4.9;37.2;19.5;10.2;4.1;0.5
1748;63;63;0;1958;2020;756;269.4;91.5;811.7;0.5;1.6;0;526.3;12.8;18.7;39.8;37.9;36.7;33.9;26;20.7;14.9;10.9;7.8;9.3;62.7;26.3;18.1;9.5;1
1751;63;60;3;1958;2020;753;3995.3;1529.5;9470.6;0.4;1;30.6;2666.7;211;308.9;498.3;579.8;562.3;512.3;398.7;288.9;213.2;181.7;130.6;135.2;957.3;397.8;234.2;153.8;87.4
1768;63;62;1;1958;2020;755;5212.9;1793.1;12066.3;0.4;0.9;42;3161.4;254.1;410;657.8;776.5;750.8;689.2;528.2;377.1;265.1;211.2;148.5;154.6;1229.2;532.3;292.2;182.5;101.2
1769;62;60;2;1959;2020;732;5351.2;1897.2;13180.2;0.4;1;9;3121;257.4;425.5;641.9;798.5;793.5;702.8;546.4;393.6;284.8;223.8;168.7;163.3;1274.3;547.5;301.2;191;107.7
1770;48;47;1;1973;2020;571;469.1;137.8;827.2;0.3;-0.1;-0.2;216.8;31.1;43.1;71.7;68;60.7;51.3;45.2;34.7;19.6;13.2;14.4;13.6;122.7;57.7;28;8.6;1
1780;40;30;10;1980;2020;421;42.8;4.4;87.3;0.7;-0.2;-4.6;32.6;2;4.7;7.2;6.8;5.4;4.6;4.9;3.6;1.9;0.6;0.1;0.1;13.3;5.1;1.7;0.4;-0.8
1781;41;39;2;1980;2020;486;75.1;31.9;161.5;0.3;0.8;0;36.6;5.1;8.8;11.9;11.5;8.9;8.5;7.3;5.8;2.8;1.4;1;1.2;18.9;8.8;4;1.4;0.8
1782;28;26;2;1993;2020;325;81.9;30.6;122.4;0.3;-0.2;-2.1;29.4;5.5;9.1;11.6;11.8;9.1;9.1;7.4;6.6;3.3;2.9;2.4;2.5;18.3;9.6;5.4;2;0.2
1790;63;63;0;1958;2020;756;194.7;80.1;386.3;0.4;0.6;0;134.8;10.3;21.1;30.7;32.4;28;25.1;20.5;14.5;6.8;2.4;1.1;1.9;53.4;23.4;9.7;2.5;0.7
