ref_ceh;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
1627;59;57;2;1962;2020;700;373.2;185.7;531.8;0.2;-0.1;1.6;653.5;215.9;230.3;266.6;343.5;411;445.5;464.5;490.2;496.9;446.3;370.7;284.6;596.2;513.4;398.6;244.3;99.9
1629;67;66;1;1954;2020;801;168.6;133.3;178.1;0.1;-1.6;46.1;182;164.3;162.4;159.1;165.2;169.1;169.2;172.7;174.6;174.3;172.6;170.9;167.1;180.8;177.8;175.3;168.9;134.4
1631;51;51;0;1970;2020;612;13.4;5;15.1;0.1;-4.8;3.1;16.8;13.5;13.5;13.2;13.4;13.5;13.5;13.7;13.6;13.2;13.4;13.4;13.1;15.7;14.4;13.7;12.9;10.6
1634;51;51;0;1970;2020;612;50.5;30;55;0.1;-3.4;18.6;63.8;49.2;50.8;48.9;50.6;50.6;51.2;50.2;51.2;51.3;51.5;50.8;50.1;57.4;54.2;51.5;48.7;39.2
1637;49;48;1;1972;2020;585;44;26.2;69.3;0.2;0.8;2.8;88.8;29.6;32.7;35.9;39;44.5;48.7;52.5;55.9;56.4;50;44.3;36.6;77;56.5;43.6;30.7;16.9
1641;51;51;0;1970;2020;612;38.2;13.8;41.1;0.1;-3.9;12.4;44.4;37.8;37.7;37.8;38.7;38.5;38.7;38.2;38.7;38.7;38;37.6;38.5;42.3;40.8;39.6;36.9;32
1704;50;48;2;1971;2020;593;40.2;18.5;60.2;0.2;-0.2;0.1;87.3;23;28.4;32.8;40;40;46.9;54;59.3;55;44.8;33.3;24.2;76.2;57.3;39.3;22.8;5.7
1709;60;59;1;1961;2020;713;207;145.8;250.9;0.1;-0.4;60.8;341.5;129.3;114.7;133.9;162.8;200.2;239;269.8;296.7;296.1;259.3;217.2;168.9;327;275.1;211.6;144;83.5
1710;59;58;1;1962;2020;701;0.8;0.1;1.1;0.2;-2.3;0;1.5;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;1.1;0.8;0.8;0.8;0.6
1711;52;52;0;1969;2020;624;8.8;2.5;10.9;0.1;-2.6;0;13.5;9.3;9.7;9.6;9.2;9.5;9.3;9.2;9.4;9.8;7.3;6.8;7.1;12.2;11;9.8;7.8;0.3
