ref_ceh;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
1627;59;58;1;1962;2020;704;2797.5;957.8;6275.7;0.4;0.7;6.1;1534.6;127;193.9;326.3;420.6;431.1;380.6;258.4;189.6;132.7;117.9;109;118.4;685.1;283.9;160.7;101.8;51.8
1629;67;66;1;1954;2020;801;2943.8;943.9;7276.9;0.4;1;14.9;2377.6;130.5;210.9;368.3;457;442.7;408.4;288.5;193.1;132.9;111.7;100.3;109.8;750.2;302.8;163.4;100.2;44.6
1631;51;51;0;1970;2020;612;7324.9;3069.3;19180.8;0.4;1.2;50.4;4000.5;362;549.5;873.4;1033;1060.3;917.9;709.6;545.6;405.7;343.5;263.3;261;1614.1;773.1;432.1;293;165
1634;51;51;0;1970;2020;612;7790.8;3270.6;18868;0.4;1;78.2;3873.9;387;592.2;940.8;1103.2;1100.9;985.3;766.5;579.7;425;358.1;277.1;275.1;1731.9;832.9;454.6;307.4;187.9
1637;49;48;1;1972;2020;585;387.1;171.2;996.9;0.4;1.3;0;440.8;19.4;37.7;54.9;69.9;57.7;40.1;31.4;23.5;14.4;12.5;9.7;13.3;94.7;43.2;20.2;9.5;1.5
1641;51;51;0;1970;2020;612;8610;3730.4;21323.7;0.4;1;54.8;4441.2;417.3;658.3;1059.5;1255.7;1240.5;1093.1;849.3;642.4;457.2;372.4;279.5;284.8;1929.5;922.8;493.9;322.7;193.3
1704;50;47;3;1971;2020;592;671.1;259.5;2028.1;0.4;2;0;1162.1;25.3;53.8;78.3;103.7;78.2;81.3;74.8;68;43;29.4;18.6;13.9;133.6;80.5;42.8;22.9;3.2
1709;60;59;1;1961;2020;712;782.4;289.8;1564.8;0.4;0.6;0;335.8;67.7;54.6;65.1;72;69.8;70.2;66.1;58.4;68.1;78.5;59.2;52.5;146;89.5;59.1;30;5.2
1710;59;58;1;1962;2020;700;919.8;270.9;1679.3;0.4;0.2;0.3;328.9;72;62.6;80.9;97.3;92.6;89.6;81.8;75;76.8;81.1;58.2;51.6;167.6;104.6;71;38.5;9.3
1711;52;52;0;1969;2020;624;716.7;155.8;1250.4;0.4;-0.1;0;184.9;60.3;57.9;74.1;80;72;72.3;64.1;52.7;58.3;59.7;35.6;29.7;132.3;91.8;56.5;23.1;0
1712;52;51;1;1969;2020;623;2195.4;721.9;5147.3;0.4;0.8;0;1137.4;125;165.7;255.2;310.9;298.3;264.2;221.9;166.4;131.5;110.6;69.4;59.5;481.3;233.9;134.5;79.5;32.1
1713;52;52;0;1969;2020;624;2466.1;769.2;6027.8;0.4;0.9;12.5;1497.2;124.5;180.5;304;373.1;364.6;302.6;254.3;190.1;136.2;105.4;69.8;61;588.9;252.9;138.2;80.2;35.4
1716;50;49;1;1971;2020;598;2252.7;731.6;5505.2;0.4;0.9;10.8;1339.3;119.9;171.9;284;328.8;328.3;276.8;230.8;170;124.1;100.1;65;57.8;547.7;234.8;128.3;75;31.9
1718;52;51;1;1969;2020;623;296.1;31.9;1055.8;0.7;1.3;0;257;10.3;17.6;41.3;53.1;53.4;39.9;31.4;22.7;13.8;6.8;4.2;4.5;90.3;30.9;10.9;5;0.8
1740;63;62;1;1958;2020;755;2878.4;925.9;6429.9;0.4;0.8;19.4;2010.6;142.5;214.8;363.7;429.9;410.9;372.4;297.3;213.5;152;117.5;84;83;733.7;304;160.6;98.1;50.5
1741;61;58;3;1960;2020;727;139.4;66.5;307.5;0.4;0.9;0;75.1;6;12.8;17.7;19.7;18;16.8;15.5;13.1;8.1;5.2;3.6;5.3;31.6;17.3;9.1;3.9;0.2
1743;61;59;2;1960;2020;730;943.5;424.2;1998.8;0.3;0.8;0;466.1;63.7;75.9;99.7;110.6;111.9;107;83;67.4;57.1;63.4;49.5;55.8;174;99;70.9;44;10.4
1744;63;63;0;1958;2020;756;2468.6;923.4;3921.8;0.3;-0.1;4.7;795.5;179.4;211.8;258.7;270.5;256.8;267.7;232.4;205.4;179.4;168.3;118.4;119.8;356.6;261.3;203.1;138.1;50.7
1745;60;59;1;1961;2020;719;161.9;67.8;351.9;0.4;0.8;0;87.1;6.8;14.1;21.6;23.3;21.4;19.9;17.7;14.6;9.1;5.7;3.1;4.9;37.6;19.3;10;4.2;0.5
