ref_evap;anomes;hora1;hora2;hora3;evapiche;evatanque;temedmax;temedmin;temedsec1;temedhum1;temedsec2;temedhum2;temedsec3;temedhum3;velviento;prectotmes;diasprec;insol
1002;199812;8;;;;;9.5;-1.4;;;;;;;;43;8;
1002;200006;8;;;;5.9;28;11.7;;;;;;;;2.5;2;
1002;200005;8;;;;3.6;20.2;9.2;;;;;;;;61.3;13;
1002;200004;8;;;;1.5;10.9;4;;;;;;;;136;22;
1002;200003;8;;;;2.6;16.8;2.5;;;;;;;;5.8;4;
1002;200002;8;;;;0.9;13.7;3;;;;;;;;13.4;6;
1002;200001;8;;;;;8.5;-3.1;;;;;;;;14;2;
1002;199912;8;;;;0.3;11.3;0.5;;;;;;;;87.9;15;
1002;199911;8;;;;0.8;13.2;1.4;;;;;;;;13.9;6;
1002;199910;8;;;;1.8;16;8;;;;;;;;159;20;
1002;199909;8;;;;3.3;23.8;11;;;;;;;;185;12;
1002;199908;8;;;;5.4;28.7;13;;;;;;;;44.2;5;
1002;199907;8;;;;6.8;32;14.1;;;;;;;;3.1;2;
1002;199711;8;;;;0.5;13.5;5.3;;;;;;;;200;23;
1002;199905;8;;;;3.3;20.5;8.4;;;;;;;;77.5;15;
1002;200009;8;;;;4;26.9;10.2;;;;;;;;34.4;6;
1002;199811;8;;;;0.6;17.3;3;;;;;;;;24.7;9;
1002;199810;8;;;;1.3;19.8;6.6;;;;;;;;37.4;10;
1002;199809;8;;;;3.4;24.5;11.6;;;;;;;;67.6;10;
1002;199808;8;;;;5.6;33.4;14.8;;;;;;;;7.6;4;
1002;199807;8;;;;6.2;28.5;12.6;;;;;;;;5.2;3;
1002;199806;8;;;;5.3;25.2;10.4;;;;;;;;12;2;
1002;199805;8;;;;3.5;19.6;8.1;;;;;;;;62.6;9;
1002;199804;8;;;;1.6;11.2;4.3;;;;;;;;182;24;
1002;199803;8;;;;2.7;19;5;;;;;;;;29.7;6;
1002;199802;8;;;;1.3;16.9;2.4;;;;;;;;23.5;4;
1002;199801;8;;;;0.6;11.2;3.3;;;;;;;;31.4;9;
1002;200302;8;;;;0.6;9.7;0.8;;;;;;;;29.7;12;
1002;199906;8;;;;5.4;26.3;11.1;;;;;;;;11.3;3;
1002;200111;8;;;;0.9;16.1;0.6;;;;;;;;5.8;4;
1002;199212;8;;;;0.2;8;-0.2;3.6;2.7;;;;;1.6;131.7;17;
1002;200212;8;;;;0.4;11;4;;;;;;;;120;20;
1002;200211;8;;;;0.6;12.2;3.7;;;;;;;;164;19;
1002;200210;8;;;;1.6;19.7;7.9;;;;;;;;92;16;
1002;200209;8;;;;3.3;25.3;10.3;;;;;;;;76.6;8;
1002;200208;8;;;;5.3;29.2;11.1;;;;;;;;14.8;4;
1002;200207;8;;;;6;29.9;11.9;;;;;;;;8.2;3;
1002;200206;8;;;;4.6;26.3;11.5;;;;;;;;52.5;9;
1002;200205;8;;;;2.9;18.3;6.2;;;;;;;;56.6;16;
1002;200204;8;;;;3.3;19.2;4.1;;;;;;;;11.7;5;
1002;200203;8;;;;2.1;16.5;3.9;;;;;;;;31.8;8;
1002;200202;8;;;;1.1;13.9;0.9;;;;;;;;41.4;7;
1002;200007;8;;;;5.5;27.5;12.2;;;;;;;;23.1;6;
1002;200112;8;;;;0.2;9.1;-3.8;;;;;;;;19.9;4;
1002;200008;8;;;;5.6;29;12.3;;;;;;;;3.1;1;
1002;200110;8;;;;2;19.5;9.8;;;;;;;;71.4;11;
1002;200109;8;;;;3.8;26.8;10.1;;;;;;;;37.9;5;
1002;200108;8;;;;5.6;29.2;13.5;;;;;;;;13.4;4;
1002;200107;8;;;;5.6;28;11.7;;;;;;;;21.3;4;
1002;200106;8;;;;5.9;29.4;11.9;;;;;;;;1.3;1;
1002;200105;8;;;;3.3;22;7.8;;;;;;;;53.6;8;
1002;200103;8;;;;1.6;15;5.2;;;;;;;;243;29;
1002;200102;8;;;;1.1;13.9;0.7;;;;;;;;101;5;
1002;200101;8;;;;0.8;11.6;3.3;;;;;;;;218;21;
1002;200012;8;;;;1.8;12;5.5;;;;;;;;160;24;
1002;200011;8;;;;0.8;10.7;4;;;;;;;;159;18;
1002;200010;8;;;;2.2;17.1;6.9;;;;;;;;53.9;9;
1002;199710;8;;;;2;22.5;9.6;;;;;;;;50.9;11;
1002;200201;8;;;;0.4;11.6;1.3;;;;;;;;61.9;12;
1002;199401;8;;;;0.4;7.9;-1.4;2.6;1.9;;;;;2.5;143.3;17;
1002;199503;8;;;;2.8;15.2;0.8;5.5;3.8;;;;;2.4;26.3;6;
1002;199502;8;;;;0.7;11.9;1.2;4.2;3.5;;;;;1.9;53.4;9;
1002;199501;8;;;;0.4;9.6;-0.8;3.6;3.1;;;;;2.3;113.3;15;
1002;199412;8;;;;0.3;10.4;1.1;4.9;5.2;;;;;1.6;89;14;
1002;199411;8;;;;0.6;14.3;3.5;5.8;6.8;;;;;0.8;64;10;
1002;199410;8;;;;1.6;19.3;7.2;9.7;10.7;;;;;1;58.5;12;
1002;199409;8;;;;3;21.4;7.4;11.2;11;;;;;1.6;41.7;12;
1002;199408;8;;;;6.7;29.5;12;16;15;;;;;1.4;22.8;2;
1002;199407;8;;;;6.4;31.5;12.5;17;16.5;;;;;1.4;12.6;2;
1002;199406;8;;;;6.1;27;10.2;16.5;15.5;;;;;1.7;7.5;3;
1002;199405;8;;;;3.3;18.1;5.3;9.1;8.4;;;;;1.6;87.5;15;
1002;199404;8;;;;2.9;14.1;1.9;6.4;5.6;;;;;2.9;8.6;5;
1002;199712;8;;;;0.2;11.7;2.3;;;;;;;;114;19;
1002;199402;8;;;;0.7;9.4;-2.2;1.9;1.4;;;;;1;56.9;17;
1002;199506;8;;;;6.1;28;10.1;13.7;11;;;;;1.2;39.7;6;
1002;199312;8;;;;0.3;7.7;1.7;5.7;4.8;;;;;2.7;36;18;
1002;199311;8;;;;0.7;11;0.1;4;3.2;;;;;0.9;68.5;11;
1002;199310;8;;;;0.9;12.7;3.5;8.6;7.7;;;;;1.9;172.6;16;
1002;199309;8;;;;2.5;19.3;7.5;11.2;10.4;;;;;1.5;60.9;12;
1002;199308;8;;;;5.5;27.1;11.6;17.5;16.6;;;;;1;29.1;3;
1002;199307;8;;;;5.9;28.1;10.1;14.2;13.8;;;;;1.1;19.2;3;
1002;199306;8;;;;4.4;24.7;10.6;14.9;13.9;;;;;1;62;13;
1002;199305;8;;;;2.4;16.5;5.7;10.1;8.8;;;;;1.2;121.3;20;
1002;199304;8;;;;2.2;13.4;1.8;5.5;4.6;;;;;2.2;60;17;
1002;199303;8;;;;2;14.1;3.2;4.7;3.9;;;;;1.2;19.7;7;
1002;199302;8;;;;1.2;13.1;-1.6;2;1.3;;;;;0.6;14.7;4;
1003;197803;7;;;;1.4;12.7;2;5.7;5.2;;;;;0.9;119.6;23;
