indroea;ano_hidr;qci;qci_com;mes_ci;dia_ci;qc;qc_com;mes_c;dia_c
1626;1978;186;2;12;;;;;
1010;1913;;;;;211;1;2;22
1621;2000;1185;2;12;7;;;;
1621;2002;;;;;395.245;2;12;28
1621;2003;;;;;485.609;2;12;4
1621;2008;;;;;546.5;2;1;27
1622;2008;;;;;383.234;2;1;24
1624;2007;40.13;2;3;27;38.275;2;5;29
1624;2008;;;;;110.879;2;1;29
1621;1994;;;;;439;2;3;6
1625;2009;64.93;2;2;25;;;;
1621;1989;;;;;619;2;12;21
1626;1982;52;2;12;20;;;;
1626;1983;45;2;4;3;;;;
1626;1985;129;2;2;;;;;
1626;1989;73;2;12;21;;;;
1626;1990;62;2;1;11;;;;
1626;1992;40;2;12;4;;;;
1626;2008;26.989;2;1;29;20.734;2;1;29
1628;2008;;;;;31.536;2;1;29
1638;2007;18.11;2;4;19;11.715;2;4;19
1625;2008;22.018;2;1;29;22.018;2;1;29
1621;1921;276;2;2;5;261;2;2;5
1619;1992;378;2;12;;;;;
1619;1994;601;2;1;2;;;;
1619;1999;335.584;2;12;15;;;;
1619;2003;350.844;2;12;4;302.537;2;12;4
1619;2004;84.918;2;4;21;73.858;2;4;21
1619;2008;397.13;2;1;24;;;;
1620;2007;49.02;2;4;9;33.335;2;4;10
1621;1917;;;;;192;1;4;5
1621;1995;;;;;511.93;2;1;9
1621;1919;;;;;238;1;1;4
1639;2009;184.7;2;12;28;154.7;2;12;6
1621;1922;262;1;2;8;231;2;2;8
1621;1923;;;;;269;1;2;14
1621;1924;269;1;2;27;240;2;2;27
1621;1926;408;1;2;26;371;2;2;26
1621;1927;;;;;361;1;12;28
1621;1928;;;;;132;1;12;15
1621;1929;;;;;608;1;12;4
1621;1930;;;;;308;1;3;12
1621;1945;352;1;6;2;;;;
1621;1918;;;;;393;1;2;25
1647;2004;15.193;2;10;31;13.496;2;10;30
1645;2000;;;;;467.661;2;1;5
1645;2001;684.476;2;10;22;;;;
1645;2002;712.31;2;1;;;;;
1645;2008;;;;;160.289;2;1;23
1646;2008;24.113;2;1;23;24.113;2;1;23
1647;1997;64.51;2;11;14;;;;
1647;1998;34.477;2;9;22;;;;
1647;2000;164.197;2;3;22;158.812;2;3;22
1638;2011;;;;;15.861;2;5;9
1647;2003;;;;;14.06;2;11;15
1644;2009;165.5;2;1;14;;;;
1647;2009;;4;12;6;47.467;2;12;6
1659;2007;19.06;2;1;15;18.475;2;4;24
1659;2008;;;;;70.194;2;1;29
1659;2009;204.84;2;2;25;;;;
1715;2007;8.71;2;4;10;7.927;2;4;23
1719;2008;4.988;2;4;24;4.988;2;4;24
1719;2009;11.48;2;12;29;;;;
1720;2008;2.45;2;7;23;2.45;2;7;23
1720;2009;6.84;2;2;25;;;;
1647;2002;55.847;2;12;28;;;;
1641;1935;;;;;;4;;
1619;1985;402;2;2;;;;;
1639;2011;;;;;64.361;2;5;9
1640;2007;845.452;2;1;6;184.713;2;1;14
1640;2017;130.801;2;3;11;110.594;2;3;12
1641;1918;;;;;;4;;
1641;1923;;;;;;4;;
1641;1925;;;;;;4;;
1641;1927;;;;;;4;;
1641;1931;;;;;;4;;
1645;1999;360.622;2;4;25;;;;
1641;1934;;;;;;4;;
1645;1982;;;;;224;2;12;12
1641;1937;;;;;;4;;
1641;1938;;;;;;4;;
1641;1939;;;;;;4;;
1641;1941;;;;;;4;;
1641;1942;;;;;;4;;
1642;2008;1828.2;2;1;29;1628.198;2;1;29
1642;2010;;;;;2002.166;2;1;7
1644;2008;133.828;2;1;23;133.828;2;1;23
1639;2008;121.813;2;1;29;121.813;2;1;29
1641;1932;;;;;;4;;
1018;1928;;;;;196;1;12;12
1018;1916;;;;;1400;1;12;23
1018;1917;;;;;800;1;1;22
1018;1918;;;;;1882;1;2;22
1018;1919;;;;;449;1;3;15
1018;1922;;;;;937;1;2;28
1018;1923;1429;1;3;26;1379;1;3;26
1018;1924;;;;;604;1;11;29
1018;1925;;;;;970;1;2;8
1607;1994;150;2;1;2;;;;
1018;1927;507;1;12;23;419;1;12;23
1018;1913;1262;1;2;22;1177;1;2;22
1018;1929;1275;1;12;5;922;1;12;5
1018;1930;;;;;985;1;1;2
1019;1950;;;;;13;1;4;19
1603;2007;30.77;2;4;9;14.486;2;4;10
1603;2009;46.56;2;12;6;36.57;2;2;25
1605;2007;78.29;2;4;12;74.502;2;4;12
1607;1982;115;2;2;;;;;
1607;1986;62;2;4;4;;;;
1619;1988;170;2;3;;;;;
1018;1926;;;;;849;1;2;27
1010;1925;264;4;11;7;;;;
1010;1914;583;1;12;11;504;1;12;11
1010;1915;;;;;224;1;12;8
1010;1916;;;;;478;1;12;23
1010;1917;;;;;132;1;4;4
1010;1918;;;;;409;1;2;23
1010;1919;;;;;202;1;4;12
1010;1920;;;;;120;1;12;28
1010;1921;305;1;4;5;292;1;4;5
1010;1922;240;1;11;4;231;1;11;4
1018;1915;;;;;900;1;12;24
1010;1924;;;;;152;1;4;19
1018;1914;;;;;1300;1;12;11
1010;1926;350;4;11;20;;;;
1010;1927;226;4;12;22;;;;
1010;1928;166;1;10;28;134;1;10;28
1010;1929;239;4;11;15;;;;
1010;1930;;;;;206;1;1;3
1010;1942;;;;;;4;;
1010;1944;;;;;353;1;12;11
1010;1954;;;;;220;1;1;24
1607;1995;102.6;2;1;1;;;;
1010;1923;555;1;3;26;487;1;3;26
1617;1992;83;2;12;5;;;;
1609;1926;;;;;202;1;2;27
1609;1927;;;;;162;1;12;28
1609;1928;;;;;51;1;1;7
1609;1929;;;;;370;1;12;4
1609;1930;;;;;112;1;2;24
1609;1952;;;;;145;1;11;27
1617;1982;105;2;12;;;;;
1617;1985;122;2;2;;;;;
1607;1993;152;2;1;7;;;;
1617;1991;83;2;11;15;;;;
1609;1923;;;;;117;1;11;13
1617;1993;172;2;1;6;131;2;1;6
1617;2001;33.152;2;10;22;;;;
1617;2002;97.75;2;11;14;;;;
1617;2003;67.422;2;12;30;52.737;2;12;30
1617;2004;24.94;2;4;21;22.307;2;4;21
1617;2007;71.869;2;4;8;40.889;2;4;9
1619;1978;524;2;12;;;;;
1619;1983;252;2;1;;;;;
1721;2020;154.611;2;12;11;125.16;2;12;11
1617;1986;53;2;2;17;;;;
1608;2004;19.175;2;5;17;16.127;2;4;22
1607;2000;;4;12;8;;4;12;8
1607;2002;;;;;78.03;2;11;24
1607;2003;111.023;2;12;4;101.65;2;12;4
1607;2004;17.182;2;5;16;16.541;2;12;29
1607;2006;136.892;2;12;10;;;;
1607;2008;;;;;146.917;2;1;27
1608;1979;46;2;1;;;;;
1608;1986;46;2;4;4;;;;
1608;1989;99;2;12;22;;;;
1609;1925;202;1;11;8;192;1;11;8
1608;2003;111.241;2;12;4;104.364;2;12;4
