indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
1626;1978;1979;;186;INCOMPLETO CON VALOR ALTO;12;;143.5;;;;
1010;1913;1914;;;;;;;211;VALOR COMPLETADO;2;22
1621;2000;2001;;1185;INCOMPLETO CON VALOR ALTO;12;7;997.892;;;;
1621;2002;2003;;;;;;;395.245;INCOMPLETO CON VALOR ALTO;12;28
1621;2003;2004;;;;;;;485.609;INCOMPLETO CON VALOR ALTO;12;4
1621;2008;2009;;;;;;;546.5;INCOMPLETO CON VALOR ALTO;1;27
1622;2008;2009;452;;;;;;383.234;INCOMPLETO CON VALOR ALTO;1;24
1624;2007;2008;;40.13;INCOMPLETO CON VALOR ALTO;3;27;;38.275;INCOMPLETO CON VALOR ALTO;5;29
1624;2008;2009;142.7;;;;;;110.879;INCOMPLETO CON VALOR ALTO;1;29
1621;1994;1995;;;;;;;439;INCOMPLETO CON VALOR ALTO;3;6
1625;2009;2010;;64.93;INCOMPLETO CON VALOR ALTO;2;25;51.978;;;;
1621;1989;1990;;;;;;;619;INCOMPLETO CON VALOR ALTO;12;21
1626;1982;1983;;52;INCOMPLETO CON VALOR ALTO;12;20;20.44;;;;
1626;1983;1984;;45;INCOMPLETO CON VALOR ALTO;4;3;31.68;;;;
1626;1985;1986;;129;INCOMPLETO CON VALOR ALTO;2;;64.94;;;;
1626;1989;1990;;73;INCOMPLETO CON VALOR ALTO;12;21;35.462;;;;
1626;1990;1991;;62;INCOMPLETO CON VALOR ALTO;1;11;41.133;;;;
1626;1992;1993;;40;INCOMPLETO CON VALOR ALTO;12;4;24.951;;;;
1626;2008;2009;;26.989;INCOMPLETO CON VALOR ALTO;1;29;;20.734;INCOMPLETO CON VALOR ALTO;1;29
1628;2008;2009;44.963;;;;;;31.536;INCOMPLETO CON VALOR ALTO;1;29
1638;2007;2008;;18.11;INCOMPLETO CON VALOR ALTO;4;19;;11.715;INCOMPLETO CON VALOR ALTO;4;19
1625;2008;2009;;22.018;INCOMPLETO CON VALOR ALTO;1;29;;22.018;INCOMPLETO CON VALOR ALTO;1;29
1621;1921;1922;;276;INCOMPLETO CON VALOR ALTO;2;5;;261;INCOMPLETO CON VALOR ALTO;2;5
1619;1992;1993;;378;INCOMPLETO CON VALOR ALTO;12;;318.876;;;;
1619;1994;1995;;601;INCOMPLETO CON VALOR ALTO;1;2;406.069;;;;
1619;1999;2000;;335.584;INCOMPLETO CON VALOR ALTO;12;15;;;;;
1619;2003;2004;;350.844;INCOMPLETO CON VALOR ALTO;12;4;;302.537;INCOMPLETO CON VALOR ALTO;12;4
1619;2004;2005;;84.918;INCOMPLETO CON VALOR ALTO;4;21;;73.858;INCOMPLETO CON VALOR ALTO;4;21
1619;2008;2009;;397.13;INCOMPLETO CON VALOR ALTO;1;24;337.851;;;;
1620;2007;2008;;49.02;INCOMPLETO CON VALOR ALTO;4;9;;33.335;INCOMPLETO CON VALOR ALTO;4;10
