hoja_id;nomhoja
47;VILALBA                       
48;MEIRA                         
72;LUGO                          
97;GUNTIN                        
98;BARALLA                       
101;VILLABLINO                    
124;SARRIA                        
126;VEGA DE ESPINAREDA            
127;NOCEDA                        
155;CHANTADA                      
156;MONFORTE DE LEMOS             
157;OENCIA                        
158;PONFERRADA                    
187;OURENSE                       
188;NOGUEIRA DE RAMUIN            
189;PUEBLA DE TRIVES              
190;BARCO DE VALDEORRAS, O        
191;SILVAN                        
224;PONTEAREAS                    
225;RIBADAVIA                     
226;ALLARIZ                       
228;VIANA DO BOLO                 
261;TUI                           
262;SALVATERRA DE MIÑO            
263;CELANOVA                      
264;XINZO DE LIMIA                
266;GUDIÑA, A                     
299;GUARDIA. LA                   
301;LOVIOS                        
