indroea;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1010;191301;0.26;;;;;;;;;1
1010;191302;0.28;;;;;;;;;1
1010;191303;0.15;;;;;;;;;1
1010;191304;2.92;;;;;;;;;1
1010;191305;3.34;;;;;;;;;1
1010;191306;1.37;;;;;;;;;1
1010;191308;3.29;;;;;;;;;1
1010;191309;1.8;;;;;;;;;1
1010;191310;1.76;;;;;;;;;1
1010;191311;0.42;;;;0;;;0;;1
1010;191312;-0.1;;;;;;;;;1
1010;191401;-0.06;21.744;58.238;28.52;0;21;15.7;-0.1;1;1
1010;191402;0.34;;;;0;;;-0.1;;1
1010;191403;0.74;;;;;;;;;1
1010;191404;0.64;;;;;;;;;1
1010;191405;0.04;;;;0;;;-0.1;;1
1010;191406;0.04;;;;0;;;-0.15;;1
1010;191407;-0.08;;;;0;;;-0.25;;1
1010;191408;-0.37;5.383;14.419;6.55;-0.3;1;3.98;-0.45;28;1
1010;191409;-0.48;3.422;8.87;3.98;-0.45;1;3.05;-0.5;13;1
1010;191410;-0.45;4.276;11.452;22.95;-0.05;29;3.05;-0.5;1;1
1010;191411;-0.22;;;;0;;;-0.4;;1
1010;191412;0.49;;;;0;;;-0.4;;1
1010;191501;0.79;;;;0.35;;;0.25;;1
1010;191502;0.55;;;;0.3;;;0.15;;1
1010;191503;0.75;;;;0.35;;;0.35;;1
1010;191504;0.5;;;;0.35;;;0.2;;1
1010;191505;0.5;;;;0.35;;;0.25;;1
1010;191506;0.12;24.799;64.279;36;0.25;1;16.5;0;26;1
1010;191507;-0.22;7.441;19.931;11.5;-0.1;1;5;-0.3;24;1
1010;191508;-0.39;4.505;12.066;4.75;-0.35;1;3.98;-0.45;27;1
1010;191509;-0.21;8.664;22.458;27;0.15;30;4.5;-0.4;1;1
1010;191510;0.02;;;;0.35;;;-0.25;;1
1010;191511;0.32;;;;0.35;;;0.05;;1
1010;191512;0.83;;;;0.35;;;0.1;;1
1010;191601;0.19;;;;0.35;;;-0.1;;1
1010;191602;0.21;;;;0.35;;;-0.1;;1
1010;191603;0.26;;;;0.35;;;0;;1
1010;191604;0.44;;;;0.35;;;0.2;;1
1010;191605;0.48;;;;0.35;;;0.15;;1
1010;191606;-0.01;16.735;43.378;27;0.15;1;7.831;-0.2;29;1
1010;191607;-0.3;5.697;15.259;7.831;-0.2;1;4.5;-0.4;28;1
1010;191608;-0.43;4.198;11.244;4.5;-0.4;1;3.98;-0.45;14;1
1010;191609;-0.41;4.325;11.21;5;-0.3;26;3.98;-0.45;1;1
1010;191610;-0.23;8.052;21.568;23.5;0.1;27;4.5;-0.4;1;1
1010;191701;0.41;;;;0.35;;;0.2;;1
1010;191702;0.26;;;;0.35;;;0.2;;1
1010;191703;0.55;;;;0.3;;;0.2;;1
1010;191704;0.7;;;;;;;;;1
1010;191705;1.04;;;;;;;;;1
1010;191706;0.38;;;;0.35;;;0.2;;1
1010;191707;0.05;20.741;55.552;30.992;0.2;1;11.5;-0.1;26;1
1010;191708;-0.18;8.474;22.698;11.5;-0.1;1;6.4;-0.25;29;1
1010;191709;-0.2;7.746;20.077;9.3;-0.15;8;6.4;-0.25;1;1
1010;191710;-0.07;;;;0;;;-0.25;;1
1010;191711;0.19;;;;0.3;;;0;;1
1010;191712;-0.08;12.403;33.221;13.5;-0.05;1;11.5;-0.1;12;1
1010;191801;0.5;;;;0.3;;;-0.1;;1
1010;191802;0.05;20.125;48.686;23.5;0.1;1;16.5;0;24;1
1010;191803;0.18;;;;0.3;;;0;;1
1010;191804;0.5;;;;0.35;;;0.25;;1
1010;191805;0.22;34.06;91.227;47.732;0.35;3;16.5;0;30;1
1010;191806;-0.16;9.372;24.291;16.5;0;1;6.4;-0.25;21;1
1010;191807;-0.31;5.267;14.106;7.831;-0.2;1;4.75;-0.35;20;1
1010;191808;-0.44;4.215;11.288;4.75;-0.35;1;3.95;-0.5;24;1
1010;191809;-0.24;6.758;17.517;13.5;-0.05;18;4.75;-0.35;19;1
1010;191810;0.17;;;;0.3;;;0;;1
1010;191811;0.18;30.415;78.834;42;0.3;3;23.5;0.1;1;1
1010;191812;0.2;32.078;85.919;42;0.3;28;23.5;0.1;1;1
1010;191901;0.49;;;;0.3;;;0.25;;1
1010;191902;1.33;;;;0.3;;;0.3;;1
1010;191903;0.78;;;;;;;;;1
1010;191904;0.67;;;;;;;;;1
1010;191905;0.3;;;;0.35;;;0.2;;1
1010;191906;0.11;21.494;55.713;42.4;0.3;4;8.25;-0.05;28;1
1010;191907;-0.1;6.207;16.625;8.25;-0.05;1;4.82;-0.15;21;1
1010;191908;-0.22;3.236;8.668;4.82;-0.15;1;2.52;-0.25;13;1
1010;191909;-0.21;3.383;8.77;4.82;-0.15;25;2.52;-0.25;4;1
1010;191910;-0.03;10.534;28.215;42.4;0.3;31;6.086;-0.1;1;1
1010;191911;0.44;;;;0.35;;;0.25;;1
1010;191912;0.47;;;;0.35;;;0.35;;1
1010;192001;0.41;;;;0.25;;;0.25;;1
1010;192002;0.23;;;;0.25;;;0.15;;1
1010;192003;0.49;;;;0.25;;;0.25;;1
1010;192004;0.69;;;;;;;;;1
1010;192005;0.29;;;;0.25;;;0.2;;1
1010;192006;0.16;;;;0.25;;;0.05;;1
1010;192007;0.01;9.079;24.317;14.5;0.15;21;7.375;-0.05;14;1
1010;192008;-0.11;5.936;15.898;7.375;-0.05;1;3.62;-0.2;29;1
1010;192009;-0.2;3.727;9.66;4.82;-0.15;13;2.52;-0.25;5;1
1010;192010;0.17;;;;0.25;;;-0.2;;1
1010;192011;0.18;;;;0.25;;;0.05;;1
1010;192012;0.26;;;;0.25;;;0.05;;1
1010;192101;0.15;;;;0.1;;;0.05;;1
1010;192102;0.08;;;;0.1;;;-0.05;;1
1010;192103;-0.05;5.5;14.731;5.5;-0.05;1;5.5;-0.05;1;1
1010;192104;-0.07;5.11;13.245;5.5;-0.05;1;4.6;-0.1;3;1
1010;192105;0.03;;;;0.1;;;-0.1;;1
1010;192106;-0.18;3.397;8.804;4.6;-0.1;1;2.25;-0.25;23;1
1010;192107;-0.26;2.093;5.606;3.05;-0.2;13;1.596;-0.3;3;1
1010;192108;-0.33;;;;-0.3;;;-0.3;;1
1010;192109;-0.3;;;;-0.25;;;-0.3;;1
1010;192110;-0.17;3.571;9.564;4.6;-0.1;14;2.25;-0.25;1;1
1010;192111;-0.03;;;;0.1;;;-0.2;;1
1010;192202;0.43;;;;;;;;;1
1010;192203;0.36;;;;;;;;;1
1010;192205;0.4;;;;;;;;;1
1010;192206;0.15;;;;0.1;;;-0.05;;1
1010;192207;-0.03;5.997;16.062;6.6;0;18;5.5;-0.05;1;1
1010;192208;-0.04;5.748;15.396;6.6;0;1;5.5;-0.05;2;1
1010;192209;0.04;8.03;20.814;11.964;0.1;27;6.6;0;1;1
1010;192212;0.12;;;;0.1;;;-0.05;;1
1010;192301;0.42;;;;0.1;;;0;;1
1010;192303;0.7;;;;;;;;;1
1010;192304;0.44;;;;;;;;;1
1010;192305;0.28;;;;0.1;;;0;;1
1010;192306;-0.14;4.088;10.597;6.6;0;1;2.25;-0.25;26;1
1010;192307;-0.27;;;;-0.2;;;-0.3;;1
1010;192308;-0.34;;;;-0.3;;;-0.3;;1
1010;192309;-0.38;;;;;;;;;1
1010;192310;-0.14;;;;0.1;;;-0.2;;1
1010;192311;0.19;;;;0.1;;;0;;1
1010;192312;0.05;;;;0.1;;;-0.05;;1
1010;192402;-0.01;;;;0.1;;;-0.15;;1
1010;192404;0.61;;;;;;;;;1
1010;192405;0.28;;;;0.1;;;0.1;;1
1010;192406;-0.03;6.353;16.467;11.964;0.1;1;4.6;-0.1;22;1
1010;192407;-0.18;3.416;9.15;4.6;-0.1;1;2.25;-0.25;25;1
1010;192408;-0.27;2.053;5.499;3.05;-0.2;10;1.596;-0.3;5;1
1010;192409;-0.11;4.686;12.147;8.25;0.05;27;1.596;-0.3;1;1
1010;192410;0.06;;;;0.1;;;0;;1
1010;192412;0.71;;;;;;;;;1
1010;192501;0.35;;;;0.2;;;0.1;;1
1010;192503;0.44;;;;;;;;;1
1010;192505;0.7;;;;;;;;;1
1010;192506;0.35;;;;0.2;;;0;;1
1010;192507;-0.05;5.549;14.863;11.964;0.1;4;3;-0.2;30;1
1010;192508;-0.19;3.381;9.055;19;0.15;24;2.2;-0.25;8;1
1010;192509;-0.23;2.586;6.702;4;-0.1;23;1.596;-0.3;16;1
1010;192512;0.77;;;;0.1;;;0.05;;1
1010;192601;0.52;;;;;;;;;1
1010;192602;0.99;;;;;;;;;1
1010;192603;0.38;;;;;;;;;1
1010;192604;0.46;;;;;;;;;1
1010;192605;0.46;;;;;;;;;1
1010;192606;0.38;;;;;;;;;1
1010;192607;-0.06;;;;0.1;;;-0.25;;1
1010;192608;-0.33;;;;-0.25;;;-0.3;;1
1010;192609;-0.29;;;;-0.25;;;-0.3;;1
1010;192610;-0.16;;;;0.1;;;-0.3;;1
1010;192612;0.65;;;;;;;;;1
1010;192701;0.45;;;;;;;;;1
1010;192704;0.74;;;;;;;;;1
1010;192705;0.28;;;;0.1;;;0.1;;1
1010;192706;-0.01;6.701;17.37;11.964;0.1;1;3.5;-0.15;28;1
1010;192707;0.03;;;;0.1;;;-0.15;;1
1010;192708;-0.15;3.532;9.461;4;-0.1;22;3;-0.2;9;1
1010;192710;0.16;;;;0.1;;;0.1;;1
1010;192711;0.26;;;;;;;;;1
1010;192801;0.39;;;;;;;;;1
1010;192802;0.3;;;;;;;;;1
1010;192803;0.48;;;;;;;;;1
1010;192804;0.72;;;;;;;;;1
1010;192805;0.64;;;;;;;;;1
1010;192806;0.53;;;;;;;;;1
1010;192807;0.1;;;;0.1;;;0.05;;1
1010;192808;-0.05;5.368;14.377;8.25;0.05;1;3.5;-0.15;24;1
1010;192809;-0.14;3.787;9.815;6.1;0;30;3;-0.2;8;1
1010;192811;0.3;;;;;;;;;1
1010;192812;0.27;;;;;;;;;1
1010;192901;0.29;;;;;;;;;1
1010;192902;0.66;;;;;;;;;1
1010;192903;0.39;;;;;;;;;1
1010;192904;0.24;;;;;;;;;1
1010;192905;0.27;;;;;;;;;1
1010;192906;0.15;;;;0.1;;;0.05;;1
1010;192907;0.09;;;;0.1;;;0;;1
1010;192908;-0.1;4.1;10.981;6.1;0;1;3.5;-0.15;20;1
1010;192909;;4.417;11.448;8.25;;12;3;;28;1
1010;192910;0.14;;;;0.1;;;-0.15;;1
1010;192912;1.07;;;;;;;;;1
1010;193001;0.49;;;;;;;;;1
1010;193002;0.42;;;;;;;;;1
1010;193003;0.64;;;;;;;;;1
1010;193004;0.7;;;;;;;;;1
1010;193005;0.66;;;;;;;;;1
1010;193006;0.25;;;;;;;;;1
1010;193007;0.11;;;;0.1;;;0.05;;1
1010;193008;-0.11;4.126;11.051;6.1;0;1;3;-0.2;28;1
1010;193009;-0.12;3.95;10.238;6;0;28;3;-0.2;1;1
1010;193010;0.17;;;;0.1;;;0.05;;1
1010;193011;0.18;;;;0.1;;;0.05;;1
1010;193012;0.55;;;;;;;;;1
1010;193101;0.53;;;;;;;;;1
1010;193103;0.81;;;;;;;;;1
1010;193104;0.48;;;;;;;;;1
1010;193105;0.37;;;;;;;;;1
1010;193106;0.08;;;;0.1;;;0;;1
1010;193107;-0.05;5.466;14.64;8.25;0.05;15;2.2;-0.25;28;1
1010;193108;-0.22;2.937;7.868;8.25;0.05;25;1.596;-0.3;10;1
1010;193109;-0.07;;;;0.1;;;-0.3;;1
1010;193110;-0.06;;;;0.1;;;-0.3;;1
1010;193111;0.46;;;;0.1;;;0.05;;1
1010;193112;0.17;;;;0.1;;;0.1;;1
1010;193201;;;;;;;;;;2
1010;193202;;8.25;20.671;8.25;;;8.25;;;2
