indroea;anomes;qmedmes;apormedmes;qcmes;dia_cmes;qnmes;dia_nmes;descr_orig_dato;orig_dato_id;dia_ci;qci
1010;191301;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191302;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191303;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191304;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191305;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191306;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191308;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191309;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191310;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191311;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191312;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191401;21.744;58.238;28.52;21;15.7;1;ANUARIO DE AFOROS   ;1;;
1010;191402;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191403;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191404;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191405;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191406;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191407;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191408;5.383;14.419;6.55;1;3.98;28;ANUARIO DE AFOROS   ;1;;
1010;191409;3.422;8.87;3.98;1;3.05;13;ANUARIO DE AFOROS   ;1;;
1010;191410;4.276;11.452;22.95;29;3.05;1;ANUARIO DE AFOROS   ;1;;
1010;191411;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191412;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191501;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191502;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191503;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191504;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191505;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191506;24.799;64.279;36;1;16.5;26;ANUARIO DE AFOROS   ;1;;
1010;191507;7.441;19.931;11.5;1;5;24;ANUARIO DE AFOROS   ;1;;
1010;191508;4.505;12.066;4.75;1;3.98;27;ANUARIO DE AFOROS   ;1;;
1010;191509;8.664;22.458;27;30;4.5;1;ANUARIO DE AFOROS   ;1;;
1010;191510;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191511;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191512;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191601;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191602;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191603;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191604;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191605;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191606;16.735;43.378;27;1;7.831;29;ANUARIO DE AFOROS   ;1;;
1010;191607;5.697;15.259;7.831;1;4.5;28;ANUARIO DE AFOROS   ;1;;
1010;191608;4.198;11.244;4.5;1;3.98;14;ANUARIO DE AFOROS   ;1;;
1010;191609;4.325;11.21;5;26;3.98;1;ANUARIO DE AFOROS   ;1;;
1010;191610;8.052;21.568;23.5;27;4.5;1;ANUARIO DE AFOROS   ;1;;
1010;191701;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191702;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191703;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191704;;;;;;;ANUARIO DE AFOROS   ;1;;
1010;191705;;;;;;;ANUARIO DE AFOROS   ;1;;
