ref_ceh;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1401;196110;;60.206;161.256;80.5;;24;30;;5;1
1401;196111;;74.076;192.005;80;;15;50;;30;1
1401;196112;;59.403;159.104;80;;5;0;;26;1
1401;196202;;72.696;175.867;80;;1;47;;25;1
1401;196203;;60.147;161.097;80;;4;0;;10;1
1401;196205;;54.512;146.004;78.75;;1;2.31;;28;1
1401;196206;;26.856;69.612;46.19;;1;3.72;;18;1
1401;196207;;29.58;79.227;57.91;;10;8.24;;4;1
1401;196208;;24.415;65.394;41.96;;4;8.94;;19;1
1401;196209;;20.761;53.813;37.65;;21;3.89;;30;1
1401;196210;;27.476;73.591;47.58;;20;5.51;;29;1
1401;196211;;27.138;70.341;60.97;;23;3.71;;5;1
1401;196212;;45.603;122.142;77.93;;23;13.51;;3;1
1401;196301;;68.468;183.386;84.33;;6;46.66;;8;1
1401;196302;;64.242;155.414;89.17;;10;17.78;;28;1
1401;196303;;21.555;57.732;70;;16;0;;2;1
1401;196304;;32.369;83.9;79.54;;13;0;;26;1
1401;196305;;43.691;117.023;80;;12;0;;1;1
1401;196306;;59.238;153.546;79.24;;8;12.28;;24;1
1401;196307;;36.035;96.515;57.31;;1;12.93;;29;1
1401;196308;;31.501;84.371;45.49;;7;14.22;;12;1
1401;196309;;38.099;98.752;53.41;;20;18.21;;30;1
1401;196310;;50.395;134.979;68.9;;12;2.98;;14;1
1401;196311;;68.944;178.704;80;;10;35.36;;12;1
1401;196312;;41.225;110.417;73.5;;31;0;;6;1
1401;196401;;71.589;191.745;80;;15;53.5;;7;1
1401;196402;;57.031;142.897;79.81;;22;0;;25;1
1401;196403;;36.285;97.185;79.96;;2;0;;11;1
1401;196404;;54.064;140.133;77.65;;9;3;;21;1
1401;196405;;55.001;147.314;75;;5;25.84;;18;1
1401;196406;;50.245;130.236;75;;6;2.79;;29;1
1401;196407;;36.17;96.878;50.89;;11;3.01;;18;1
1401;196408;;34.212;91.633;58.93;;18;2.31;;16;1
1401;196409;;42.574;110.352;59.22;;5;19.51;;13;1
1401;196410;;43.288;115.943;74.47;;17;7.83;;28;1
1401;196411;;26.544;68.803;42.09;;7;7.07;;22;1
1401;196412;;29.444;78.862;56.38;;10;6.8;;20;1
1401;196501;;52.14;139.653;76.97;;24;8.22;;17;1
1401;196502;;70.701;171.039;75;;1;44.19;;28;1
1401;196503;;59.06;158.186;74.14;;6;4.92;;16;1
1401;196504;;69.078;179.049;76.42;;6;41.38;;25;1
1401;196505;;40.818;109.326;71.49;;6;8;;23;1
1401;196506;;23.576;61.109;44.04;;3;2.23;;26;1
1401;196507;;14.911;39.937;42.74;;3;0.21;;17;1
1401;196509;;28.693;74.372;70.93;;30;5.21;;20;1
1401;196510;;39.651;106.201;74.8;;5;12.67;;4;1
1401;196511;;48.757;126.378;76.81;;28;10.49;;1;1
1401;196512;;35.277;94.486;81.93;;2;0;;7;1
1401;196601;;24.128;64.625;74.32;;6;0;;12;1
1401;196602;;4.425;10.706;54.43;;6;0;;1;1
1401;196603;;55.639;149.024;81.59;;29;0;;1;1
1401;196604;;58.436;151.465;80;;8;0;;10;1
1401;196605;;71.433;191.326;85.97;;21;52.38;;1;1
1401;196606;;67.382;174.655;81.6;;17;46.07;;19;1
1401;196607;;46.148;123.603;61.48;;12;20.07;;18;1
1401;196608;;29.291;78.452;49.87;;6;6.85;;28;1
1401;196609;;25.584;66.314;41.19;;30;0.81;;22;1
1401;196610;;47.72;127.814;72;;26;5.89;;12;1
1401;196611;;64.827;168.032;79.5;;30;29.04;;5;1
1401;196612;;73.161;195.953;80;;1;56;;26;1
1401;196701;;68.936;184.639;79;;24;51.42;;16;1
1401;196702;;70.256;169.964;76.43;;16;47.49;;13;1
1401;196703;;71.511;191.535;77.35;;10;65.26;;9;1
1401;196704;;63.894;165.614;77;;2;36.2;;30;1
1401;196705;;61.437;164.553;72.91;;23;39.2;;1;1
1401;196706;;43.915;113.828;72.03;;8;20.11;;11;1
1401;196707;;24.13;64.631;41.07;;5;1.86;;23;1
1401;196708;;23.894;63.998;69.1;;3;0;;10;1
1401;196709;;46.879;121.511;60.53;;22;18.64;;3;1
1401;196710;;37.429;100.251;55.18;;6;14.12;;29;1
1401;196711;;40.127;104.01;69.67;;5;6.03;;1;1
1401;196712;;45.45;121.733;71.15;;22;3.52;;26;1
1401;196801;;63.477;170.017;74.99;;6;39.58;;1;1
1401;196802;;70.759;177.295;81.03;;13;43.66;;5;1
1401;196803;;67.543;180.908;78.57;;2;23.04;;19;1
1401;196804;;57.746;149.678;92.1;;1;3.64;;19;1
1401;196805;;59.848;160.296;80.3;;31;2.44;;5;1
1401;196806;;47.752;123.774;83.74;;1;24.38;;16;1
