ref_ceh;anomes;resmes;salmes;entmes;tipo_dato_id;orig_dato_id
1627;196210;;;;2;1
1627;196211;;;;2;1
1627;196212;;;;2;1
1627;196301;;;;2;1
1627;196302;429;775.552;799.552;2;1
1627;196303;453;672.417;665.417;2;1
1627;196304;446;394.425;423.425;2;1
1627;196305;475;92.388;129.388;2;1
1627;196306;512;71.021;89.021;2;1
1627;196307;530;50.423;45.423;2;1
1627;196308;525;72.507;22.507;2;1
1627;196309;475;77.665;22.815;2;1
1627;196310;420.15;179.712;20.892;2;1
1627;196311;261.33;132.538;370.478;2;1
1627;196312;499.27;418.694;482.414;2;1
1627;196401;562.99;200.966;148.546;2;1
1627;196402;510.57;339.638;425.368;2;1
1627;196403;596.3;817.258;842.248;2;1
1627;196404;621.29;360.288;392.458;2;1
1627;196405;653.46;116.554;109.604;2;1
1627;196406;646.51;233.971;204.411;2;1
1627;196407;616.95;93.139;35.039;2;1
1627;196408;558.85;144.979;20.109;2;1
1627;196409;433.98;146.88;17.4;2;1
1627;196410;304.5;113.962;54.862;2;1
1627;196411;245.4;143.605;26.905;2;1
1627;196412;128.7;107.404;98.804;2;1
1627;196501;120.1;152.436;307.836;2;1
1627;196502;275.5;304.448;167.848;2;1
1627;196503;138.9;133.091;413.991;2;1
1627;196504;419.8;100.803;253.303;2;1
1627;196505;572.3;108.069;96.469;2;1
1627;196506;560.7;73.328;44.228;2;1
1627;196507;531.6;49.023;18.523;2;1
1627;196508;501.1;59.27;12.87;2;1
1627;196509;454.7;31.804;;2;1
1627;196510;385.2;163.417;68.217;2;1
1627;196511;290;168.221;168.421;2;1
1627;196512;290.2;673.246;885.246;2;1
1627;196601;502.2;1091.733;1086.933;2;1
1627;196602;497.4;1462.553;1488.453;2;1
1627;196603;523.3;383.556;409.056;2;1
1627;196604;548.8;567.778;625.378;2;1
1627;196605;606.4;239.06;222.96;2;1
1627;196606;590.3;203.507;210.507;2;1
1627;196607;597.3;203.8;75.2;2;1
1627;196608;468.7;252.521;52.721;2;1
1627;196609;268.9;238.369;36.469;2;1
1627;196610;67;170.084;147.884;2;1
1627;196611;44.8;440.558;602.158;2;1
1627;196612;206.4;277.198;373.498;2;1
1627;196701;302.7;239.287;344.987;2;1
1627;196702;408.4;196.146;394.146;2;1
1627;196703;606.4;445.459;404.159;2;1
1627;196704;565.1;179.576;173.776;2;1
1627;196705;559.3;190.747;225.947;2;1
1627;196706;594.5;189.264;96.964;2;1
1627;196707;502.2;196.081;47.681;2;1
1627;196708;353.8;177.492;31.892;2;1
1627;196709;208.2;186.442;33.142;2;1
1627;196710;54.9;24.555;26.355;2;1
1627;196711;56.7;131.803;198.003;2;1
1627;196712;122.9;228.735;227.435;2;1
1627;196801;121.6;276.022;300.322;2;1
1627;196802;145.9;187.574;330.874;2;1
1627;196803;289.2;166.838;224.838;2;1
1627;196804;347.2;121.98;378.98;2;1
1627;196805;604.2;476.824;473.724;2;1
1627;196806;601.1;197.873;98.673;2;1
1627;196807;501.9;91.212;34.712;2;1
1627;196808;445.4;100.466;19.966;2;1
1627;196809;364.9;66.459;64.259;2;1
1627;196810;362.7;98.764;71.164;2;1
1627;196811;335.1;126.541;243.141;2;1
1627;196812;451.7;463.89;612.79;2;1
1627;196901;600.6;938.33;924.43;2;1
1627;196902;586.7;712.411;724.811;2;1
1627;196903;599.1;921.076;928.376;2;1
1627;196904;606.4;339.63;336.93;2;1
1627;196905;603.7;340.986;343.686;2;1
1627;196906;606.4;234.524;215.324;2;1
1627;196907;587.2;120.295;59.495;2;1
1627;196908;526.4;88.646;24.246;2;1
1627;196909;462;124.044;171.144;2;1
1627;196910;509.1;230.723;87.423;2;1
1627;196911;365.8;235.967;202.167;2;1
1627;196912;332;278.588;387.188;2;1
1627;197001;440.6;1235.546;1401.346;2;1
1627;197002;606.4;706.346;704.746;2;1
1627;197003;604.8;425.114;289.914;2;1
1627;197004;469.6;227.016;158.316;2;1
1627;197005;400.9;189.708;277.108;2;1
1627;197006;488.3;194.832;148.332;2;1
1627;197007;441.8;171.132;52.532;2;1
1627;197008;323.2;120.027;27.327;2;1
1627;197009;230.5;75.444;18.044;2;1
1627;197010;173.1;83.108;20.308;2;1
1627;197011;110.3;67.824;70.324;2;1
1627;197012;112.8;122.265;92.465;2;1
1627;197101;83;112.32;449.12;2;1
1627;197102;419.8;193.7;321.3;2;1
1627;197103;547.4;342.204;364.304;2;1
1627;197104;569.5;326.324;310.224;2;1
1627;197105;553.4;264.989;313.089;2;1
1627;197106;601.5;277.361;276.461;2;1
1627;197107;600.6;166.337;159.337;2;1
1627;197108;593.6;177.008;97.208;2;1
1627;197109;513.8;127.129;45.029;2;1
1627;197110;431.7;253.187;57.287;2;1
1627;197111;235.8;197.113;101.013;2;1
1627;197112;139.7;184.291;172.591;2;1
1627;197201;128;176.178;403.578;2;1
1627;197202;355.4;818.986;1061.186;2;1
1627;197203;597.6;756.916;752.916;2;1
1627;197204;593.6;266.458;248.358;2;1
1627;197205;575.5;212.043;238.543;2;1
1627;197206;602;165.879;111.979;2;1
1627;197207;548.1;62.865;37.165;2;1
1627;197208;522.4;62.415;15.015;2;1
1627;197209;475;103.939;16.839;2;1
1627;197210;387.9;117.789;49.989;2;1
