muni_id;prov_id;munombre
24016;24;BENUZA
24030;24;CACABELOS
24034;24;CAMPONARAYA
24041;24;CARUCEDO
24059;24;CORULLÓN
24070;24;FABERO
24071;24;FOLGOSO DE LA RIBERA
24083;24;IGÜEÑA
24100;24;MOLINASECA
24103;24;OENCIA
24109;24;PALACIOS DEL SIL
24115;24;PONFERRADA
24116;24;POSADA DE VALDEÓN
24122;24;PUENTE DE DOMINGO FLÓREZ
24169;24;TORENO
24196;24;VEGA DE ESPINAREDA
24202;24;VILLABLINO
24206;24;TORAL DE LOS VADOS
24209;24;VILLAFRANCA DEL BIERZO
27001;27;ABADÍN
27007;27;BEGONTE
27010;27;CASTRO DE REI
27016;27;CHANTADA
27022;27;GUITIRIZ
27023;27;GUNTÍN
27024;27;INCIO, O
27028;27;LUGO
27031;27;MONFORTE DE LEMOS
27039;27;OUTEIRO DE REI
27041;27;PANTÓN
27043;27;PÁRAMO, O
27047;27;POBRA DO BROLLÓN, A
27050;27;QUIROGA
27052;27;RIBAS DE SIL
27057;27;SARRIA
27058;27;SAVIÑAO, O
27059;27;SOBER
27065;27;VILALBA
27901;27;BARALLA
32003;32;ARNOIA, A
32006;32;BANDE
32007;32;BAÑOS DE MOLGAS
32009;32;BARCO DE VALDEORRAS, O
32013;32;BOBORÁS
32015;32;BOLO, O
32018;32;CARBALLEDA DE AVIA
32019;32;CARBALLIÑO, O
32020;32;CARTELLE
32029;32;CHANDREXA DE QUEIXA
32032;32;XINZO DE LIMIA
32040;32;LEIRO
32041;32;LOBEIRA
32042;32;LOBIOS
32049;32;MONTEDERRAMO
32051;32;MUÍÑOS
32052;32;NOGUEIRA DE RAMUÍN
32054;32;OURENSE
32056;32;PADRENDA
32057;32;PARADA DE SIL
32060;32;PETÍN
32063;32;POBRA DE TRIVES, A
32069;32;RIBADAVIA
32072;32;RÚA, A
32073;32;RUBIÁ
32083;32;VEIGA, A
32088;32;VILAMARTÍN DE VALDEORRAS
32092;32;VILARIÑO DE CONSO
36001;36;ARBO
36014;36;CRECENTE
36030;36;MONDARIZ
36039;36;PORRIÑO, O
36042;36;PONTEAREAS
36050;36;SALVATERRA DE MIÑO
36054;36;TOMIÑO
36055;36;TUI
49154;49;PÍAS
49162;49;PORTO
