Embalse,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.071 (-0.115 a 0.003),-0.026 (-0.140 a 0.205),-0.939
E008 · Fuente del Azufre,-29.592 (-54.128 a -21.745),-46.546 (-62.695 a -40.642),-1.109
E009 · Montearenas,-0.470 (-0.726 a -0.178),-0.636 (-0.904 a 0.129),-1.392
E011 · Peñarrubia,-0.087 (-0.431 a 0.060),-0.116 (-0.153 a 0.031),-0.869
E025 · Leboreiro Mao,-0.237 (-0.371 a -0.208),-0.087 (-0.361 a -0.040),-0.867
E026 · Edrada Mao,0.016 (-0.056 a 0.064),0.199 (0.028 a 0.256),-0.891
E027 · San Esteban,-0.216 (-0.665 a -0.050),-0.538 (-0.743 a 0.056),-0.947
E028 · Vilasouto,0.638 (0.591 a 0.755),0.677 (0.225 a 0.731),-0.564
E029 · San Pedro,-2.052 (-3.035 a -1.299),-1.442 (-3.587 a -1.028),-0.632
E030 · Velle,-0.803 (-0.926 a -0.478),-0.829 (-1.666 a -0.333),-0.976
E031 · Castrelo,-0.188 (-0.373 a -0.075),-0.743 (-0.999 a -0.328),-0.431
E033 · Frieira,-0.236 (-0.364 a -0.164),-0.572 (-1.422 a -0.234),-0.658
E07A · Bárcena,0.555 (0.533 a 0.668),0.565 (0.334 a 0.677),-1.134
E32A · Albarellos,-0.539 (-0.572 a -0.469),-0.613 (-0.909 a -0.517),-0.907
E35A · Conchas,0.430 (0.269 a 0.468),0.211 (0.146 a 0.414),-1.091
E570 · Santiago,-0.105 (-0.157 a 0.016),-0.307 (-0.399 a -0.054),-0.021
E571 · Pumares,-25.259 (-31.375 a -18.143),-23.787 (-31.877 a -18.818),-0.397
