,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.071,-0.026,-0.939
E008 · Fuente del Azufre,-54.128,-40.642,-1.109
E009 · Montearenas,-0.601,-0.636,-1.392
E011 · Peñarrubia,-0.431,0.031,-0.869
E025 · Leboreiro Mao,-0.371,-0.087,-0.867
E026 · Edrada Mao,-0.056,0.256,-0.891
E027 · San Esteban,-0.135,-0.538,-0.947
E028 · Vilasouto,0.591,0.225,-0.564
E029 · San Pedro,-2.052,-3.587,-0.632
E030 · Velle,-0.803,-0.333,-0.976
E031 · Castrelo,-0.188,-0.809,-0.431
E033 · Frieira,-0.164,-0.841,-0.658
E07A · Bárcena,0.668,0.334,-1.134
E32A · Albarellos,-0.539,-0.909,-0.907
E35A · Conchas,0.269,0.211,-1.091
E570 · Santiago,-0.116,-0.307,-0.021
E571 · Pumares,-25.259,-23.787,-0.397
Mediana,-0.188,-0.333,-0.891
