,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.707,-0.716,-0.939
E008 · Fuente del Azufre,-0.7,-0.696,-1.109
E009 · Montearenas,-0.787,-0.741,-1.392
E011 · Peñarrubia,-0.429,-0.414,-0.869
E025 · Leboreiro Mao,-0.626,-0.625,-0.867
E026 · Edrada Mao,-0.314,-0.303,-0.891
E027 · San Esteban,-1.921,-1.955,-0.947
E028 · Vilasouto,0.37,0.369,-0.564
E029 · San Pedro,-5.435,-5.457,-0.632
E030 · Velle,-0.353,-0.516,-0.976
E031 · Castrelo,-0.214,-0.324,-0.431
E033 · Frieira,-0.182,-0.216,-0.658
E07A · Bárcena,0.399,0.396,-1.134
E32A · Albarellos,-1.224,-1.206,-0.907
E35A · Conchas,-0.758,-0.745,-1.091
E570 · Santiago,0.056,0.053,-0.021
E571 · Pumares,-0.101,-0.098,-0.397
Mediana,-0.429,-0.516,-0.891
