,Base,Base + calidad,Persistencia
E002 · Os Peares,0.632,0.638,0.634
E008 · Fuente del Azufre,-0.232,-0.234,-0.608
E009 · Montearenas,0.468,0.469,0.481
E011 · Peñarrubia,0.722,0.757,0.778
E025 · Leboreiro Mao,0.805,0.813,0.791
E026 · Edrada Mao,0.882,0.897,0.881
E027 · San Esteban,0.536,0.558,0.539
E028 · Vilasouto,0.991,0.992,0.979
E029 · San Pedro,-0.397,-0.381,-0.743
E030 · Velle,-0.068,-0.024,-0.589
E031 · Castrelo,0.035,0.148,-0.081
E033 · Frieira,-0.069,0.1,-0.218
E07A · Bárcena,0.972,0.972,0.965
E32A · Albarellos,0.627,0.671,0.709
E35A · Conchas,0.919,0.915,0.916
E570 · Santiago,0.876,0.842,0.926
E571 · Pumares,-0.422,-0.35,-0.535
Mediana,0.627,0.638,0.634
